regime,model,split,rows,rfqs,accuracy,precision,recall,f1,roc_auc,log_loss
REALISTIC_BASELINE,LOGISTIC_REGRESSION,VALIDATION,2598,734,0.9006928406466512,0.7723112128146453,0.9196185286103542,0.8395522388059702,0.9437638140122324,0.29416735615583395
REALISTIC_BASELINE,LOGISTIC_REGRESSION,TEST,2472,732,0.9235436893203883,0.8243727598566308,0.9426229508196722,0.8795411089866156,0.9565581621757429,0.2551538373699218
REALISTIC_BASELINE,RANDOM_FOREST,VALIDATION,2598,734,0.918013856812933,0.8018539976825029,0.9427792915531336,0.8666249217282405,0.9703422659073102,0.21385558979442806
REALISTIC_BASELINE,RANDOM_FOREST,TEST,2472,732,0.933252427184466,0.8387096774193549,0.9590163934426229,0.8948374760994264,0.9763629797123297,0.18775733189135596
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,VALIDATION,2598,734,0.9203233256351039,0.8217338217338217,0.9168937329700273,0.866709594333548,0.9762727894656827,0.17252930261163965
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,TEST,2472,732,0.9405339805825242,0.8642590286425903,0.9480874316939891,0.9042345276872964,0.9813493185101437,0.1537679515991259
PROVENANCE_AWARE,LOGISTIC_REGRESSION,VALIDATION,2598,734,0.9153194765204004,0.7881165919282511,0.9577656675749319,0.8646986469864698,0.9692788062354551,0.21675301928450327
PROVENANCE_AWARE,LOGISTIC_REGRESSION,TEST,2472,732,0.9320388349514563,0.8325471698113207,0.9644808743169399,0.8936708860759494,0.9730615225174298,0.19512832634558416
PROVENANCE_AWARE,RANDOM_FOREST,VALIDATION,2598,734,0.9195535026943803,0.8,0.9536784741144414,0.870105655686762,0.9750404918665435,0.1831928774552871
PROVENANCE_AWARE,RANDOM_FOREST,TEST,2472,732,0.9364886731391586,0.844311377245509,0.9631147540983607,0.8998085513720485,0.978940550216695,0.16198553502226848
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,VALIDATION,2598,734,0.922247882986913,0.824390243902439,0.9209809264305178,0.87001287001287,0.9800785863806996,0.1573213562923119
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,TEST,2472,732,0.9405339805825242,0.8688524590163934,0.9412568306010929,0.9036065573770492,0.982684033666227,0.14416244870474448
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,VALIDATION,2598,734,0.9149345650500385,0.7872340425531915,0.9577656675749319,0.8641671788567916,0.9693131585410064,0.2169069929264395
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,TEST,2472,732,0.9320388349514563,0.831764705882353,0.9658469945355191,0.8938053097345132,0.9730874316939891,0.1951282436181093
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,VALIDATION,2598,734,0.9268668206312548,0.8119266055045872,0.9645776566757494,0.8816936488169365,0.9777879454105319,0.17150429521560895
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,TEST,2472,732,0.941747572815534,0.8516746411483254,0.9726775956284153,0.9081632653061225,0.9814772941398154,0.15122108509655946
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,VALIDATION,2598,734,0.9295612009237876,0.8388683886838868,0.9291553133514986,0.8817065287653523,0.98189158412368,0.14828754325194585
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,TEST,2472,732,0.9421521035598706,0.8685857321652065,0.9480874316939891,0.9065969954278249,0.9854500345455687,0.13366911805822382
