regime,model,difficulty_bucket,bucket_order,rfqs,top1,top3,top5,top10,mrr,ndcg5,rfq_count,mean_candidates
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,1,0,190,1.0,1.0,1.0,1.0,1.0,1.0,190,1.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,2-5,1,412,0.9174757281553398,1.0,1.0,1.0,0.9583333333333334,0.9692249559899467,412,2.912621359223301
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,6-10,2,101,0.8811881188118812,0.9900990099009901,1.0,1.0,0.9381188118811881,0.9541673648253407,101,6.9504950495049505
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,11-50,3,29,0.6206896551724138,1.0,1.0,1.0,0.8103448275862069,0.8600078375615874,29,13.10344827586207
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,1,0,190,1.0,1.0,1.0,1.0,1.0,1.0,190,1.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,2-5,1,412,0.9150485436893204,1.0,1.0,1.0,0.956715210355987,0.9680113637569371,412,2.912621359223301
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,6-10,2,101,0.8910891089108911,1.0,1.0,1.0,0.9438943894389439,0.9585078963932135,101,6.9504950495049505
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,11-50,3,29,0.6206896551724138,1.0,1.0,1.0,0.8103448275862069,0.8600078375615874,29,13.10344827586207
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,1,0,190,1.0,1.0,1.0,1.0,1.0,1.0,190,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,2-5,1,412,0.9053398058252428,1.0,1.0,1.0,0.9518608414239482,0.9644281574809319,412,2.912621359223301
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,6-10,2,101,0.8811881188118812,1.0,1.0,1.0,0.9389438943894389,0.9548537355374854,101,6.9504950495049505
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,11-50,3,29,0.6206896551724138,1.0,1.0,1.0,0.8103448275862069,0.8600078375615874,29,13.10344827586207
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,1,0,190,1.0,1.0,1.0,1.0,1.0,1.0,190,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,2-5,1,412,0.8956310679611651,1.0,1.0,1.0,0.9466019417475728,0.9605271605409182,412,2.912621359223301
