rfq_id,regime,model,package,predicted_configuration_id,synthetic_engineer_configuration_id,model_probability,candidate_count,exact_choice,mandatory_equivalent,mandatory_preferred_equivalent,predicted_mandatory_total,predicted_mandatory_satisfied,predicted_mandatory_violations,predicted_preferred_total,predicted_preferred_satisfied,predicted_preferred_differences,ground_truth_mandatory_valid,ground_truth_mandatory_preferred_valid,outcome_category
RFQ731-000011,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_8b18ac1c34209d63,CFG731_cd71ec2726e971ef,0.7513553470605643,4,False,True,True,13,13,0,1,1,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000014,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_5dd42015f6f61801,CFG731_5c624ef6fa2b6510,0.9312393845890226,4,False,True,True,9,9,0,6,6,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000020,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_8d2d91c46ccfb471,CFG731_48772fd385d8dcd5,0.940717400582501,2,False,True,True,10,10,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000033,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731CA,CFG731_faff6da73df00950,CFG731_faff6da73df00950,0.9809923599783618,1,True,True,True,10,10,0,4,4,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000041,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_c3a136a8630f644d,CFG731_d71a39e1fcf17083,0.6345221927099385,6,False,True,True,12,12,0,2,2,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000042,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_91e51485b56960b2,CFG731_8e5ce09a779d2284,0.9042177759012776,6,False,True,True,8,8,0,6,6,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000053,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_1cbb464ec15ba84f,CFG731_1cbb464ec15ba84f,0.9873821152194784,2,True,True,True,11,11,0,4,4,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000058,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_SINGLECHANNEL,CFG731_70b6eaf9262ca4d0,CFG731_400b0d973c930668,0.5420940504976064,2,False,True,True,10,10,0,1,1,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000065,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_91e51485b56960b2,CFG731_f57ccd8e79618aa1,0.8874724047154116,10,False,True,True,12,12,0,2,2,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000067,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_31c4aded40f9387f,CFG731_31c4aded40f9387f,0.8820258102061909,1,True,True,True,13,13,0,3,3,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000071,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731CA,CFG731_19ec976991ce75a9,CFG731_19f7d73d8e42e7bd,0.9511562795259704,2,False,True,True,10,10,0,2,2,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000099,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_5dd42015f6f61801,CFG731_917fc613cc9bf56a,0.9113078523773752,7,False,True,True,8,8,0,6,6,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000101,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_DUALCHANNEL,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,0.9746474978773536,1,True,True,True,10,10,0,3,3,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000107,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_8c50542218db5cb0,CFG731_b3506a753aafcfa3,0.8324976682503599,6,False,True,True,8,8,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000109,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_8d78781f8753b72a,CFG731_8d78781f8753b72a,0.9589789438360764,1,True,True,True,10,10,0,4,4,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000111,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_bbcb665ced67f8c3,CFG731_2e5bd0d53757f625,0.5961575887095821,4,False,True,True,13,13,0,1,1,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000113,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_SINGLECHANNEL,CFG731_4ca309199387f8d5,CFG731_4ca309199387f8d5,0.9610857055089967,1,True,True,True,9,9,0,4,4,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000119,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_bbffb73f3dff6787,CFG731_bbffb73f3dff6787,0.9932605532534172,1,True,True,True,12,12,0,4,4,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000126,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731PW,CFG731_92efd7a3c43da152,CFG731_92efd7a3c43da152,0.9007015611261372,1,True,True,True,9,9,0,3,3,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000129,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731TE,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,0.9890829133397538,1,True,True,True,8,8,0,5,5,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000134,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_c887ba58c35036a9,CFG731_5de6ca53a86b09c9,0.9019806241034732,5,False,True,True,10,10,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000137,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_da02526d254e2e35,CFG731_efc9d6b915117e15,0.958588370185476,2,False,True,True,10,10,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000142,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_36c553adc9f5ebf3,CFG731_e3b7a52ea0694eb1,0.7369234284189133,4,False,True,True,9,9,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000147,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_91e51485b56960b2,CFG731_b83ac25dbd4e47ee,0.9377165012766342,4,False,True,True,11,11,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000149,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_8f470181ad32eeae,CFG731_88a813121973f952,0.7709921059673109,2,False,True,True,12,12,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000150,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_c39096767a7ae083,CFG731_ef02695e374fc418,0.8771111958148793,5,False,True,True,12,12,0,2,2,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000165,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_a56f1437a0b4ca31,CFG731_00e033bb831be6d5,0.68918387129162,4,False,True,True,4,4,0,10,10,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000169,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_076cad91966d4c34,CFG731_b3ed2928d6d65710,0.6209577824554927,4,False,True,True,12,12,0,2,2,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000181,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_9755a9db60d7534d,CFG731_5be5a82ac0b29989,0.9185237004039118,2,False,True,True,11,11,0,2,2,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000182,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_3b2a32abbf148ca1,CFG731_7c35d25e0c12df82,0.9455550231198636,4,False,True,True,10,10,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000186,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_2be17a56b0589fd1,CFG731_0ef26d136a7182e8,0.8222418422181376,7,False,True,True,9,9,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000198,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_8c50542218db5cb0,CFG731_8c50542218db5cb0,0.980986438728942,1,True,True,True,15,15,0,1,1,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000212,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_608c0251ef380592,CFG731_09db81b4dee54f57,0.8375573299736631,6,False,True,True,9,9,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000214,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731CA,CFG731_b97ce0f180acf155,CFG731_b97ce0f180acf155,0.992752572718916,1,True,True,True,10,10,0,4,4,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000216,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_36c553adc9f5ebf3,CFG731_da5f98932a1c6afd,0.7372161152801983,3,False,True,True,10,10,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000218,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_fd3397424975992e,CFG731_ef7dc9987c0ff289,0.9650494960208637,3,False,True,True,9,9,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000223,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_fcc72e9951376cf3,CFG731_fcc72e9951376cf3,0.96255169390205,1,True,True,True,10,10,0,6,6,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000224,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_f87794e7a98d0b11,CFG731_192157d53112de14,0.8982158459270907,6,False,True,True,10,10,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000232,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_329b582435fea539,CFG731_b5710e5f11e2cbc2,0.7049718895137055,4,False,True,True,10,10,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000241,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_abcee67081353f16,CFG731_c821f5044ae6d2ab,0.892866700241372,4,False,True,True,11,11,0,3,3,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000243,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_608c0251ef380592,CFG731_608c0251ef380592,0.992994464708464,1,True,True,True,12,12,0,4,4,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000249,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_31aa13473958d7d3,CFG731_edd62f5541be2bb0,0.8118163087816889,4,False,True,True,9,9,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000257,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_3b2a32abbf148ca1,CFG731_f3a077220d123b51,0.9113078523773752,7,False,True,True,9,9,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000260,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_2be17a56b0589fd1,CFG731_de5e29fe1f740f3e,0.9340515616453046,3,False,True,True,12,12,0,3,3,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000267,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_8d07e19298d09d34,CFG731_a38141e3f47b5259,0.731345902517117,4,False,True,True,10,10,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000270,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_DUALCHANNEL,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,0.9746474978773536,1,True,True,True,10,10,0,3,3,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000273,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_32a4bb12438a37ab,CFG731_70576b93aef3bc09,0.9885334173962296,5,False,True,True,11,11,0,3,3,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000275,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_DUALCHANNEL,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,0.970757356640734,1,True,True,True,8,8,0,5,5,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000279,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_2be17a56b0589fd1,CFG731_353333bad447dbef,0.9276797860666542,2,False,True,True,7,7,0,8,8,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000281,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731TE,CFG731_54559f782190a122,CFG731_54559f782190a122,0.9895923069268028,1,True,True,True,9,9,0,4,4,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000286,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_bbffb73f3dff6787,CFG731_bbffb73f3dff6787,0.9933931081794848,1,True,True,True,11,11,0,5,5,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000293,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_04bb9195f752ca8c,CFG731_04bb9195f752ca8c,0.9895201360042908,1,True,True,True,11,11,0,3,3,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000295,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_36c553adc9f5ebf3,CFG731_da5f98932a1c6afd,0.7372161152801983,3,False,True,True,10,10,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000305,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_0db950a4979d2c52,CFG731_f030e97d69c5c359,0.8954223277776746,5,False,True,True,8,8,0,6,6,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000313,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,CFG731_a56f1437a0b4ca31,CFG731_646d8903da63e1f0,0.7129960971353864,2,False,True,True,11,11,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000327,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_608c0251ef380592,CFG731_576db798689c655c,0.8359139453417923,12,False,True,True,9,9,0,3,3,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000329,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_62d0f0f6bab9bdcb,CFG731_6be2d8f04f4b5682,0.843514186965585,8,False,True,True,9,9,0,4,4,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000334,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_cf543b1c3927ab71,CFG731_624f3002b3cf1e19,0.9896595256527037,4,False,True,True,8,8,0,6,6,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000343,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_c39096767a7ae083,CFG731_7187559e0dc892c4,0.9042177759012776,5,False,True,True,9,9,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
RFQ731-000349,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731CA,CFG731_edf13ed38a4b54de,CFG731_edf13ed38a4b54de,0.9787939887523448,1,True,True,True,10,10,0,4,4,0,True,True,EXACT_SYNTHETIC_ENGINEER_CHOICE
RFQ731-000365,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,CFG731_91e51485b56960b2,CFG731_b83ac25dbd4e47ee,0.9438719400066484,4,False,True,True,10,10,0,5,5,0,True,True,REQUIREMENT_EQUIVALENT_ALTERNATIVE
