model_a,model_b,metric,observed_difference,bootstrap_ci95_lower,bootstrap_ci95_upper,probability_a_better
PROVENANCE_AWARE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,top1,0.006830601092896127,-0.007662835249042102,0.022062908496732033,0.7385
PROVENANCE_AWARE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,top3,0.0,0.0,0.0,0.0
PROVENANCE_AWARE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,top5,0.0,0.0,0.0,0.0
PROVENANCE_AWARE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,mrr,0.003415300546448119,-0.003831417624520994,0.011031454248365963,0.7395
PROVENANCE_AWARE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,ndcg5,0.0025209716286102024,-0.002828124493705178,0.008142763075819015,0.7515
MECHANISTIC_UPPER_BOUND / HIST_GRADIENT_BOOSTING,PROVENANCE_AWARE / HIST_GRADIENT_BOOSTING,top1,0.0,-0.014814814814814836,0.014705882352941124,0.4015
MECHANISTIC_UPPER_BOUND / HIST_GRADIENT_BOOSTING,PROVENANCE_AWARE / HIST_GRADIENT_BOOSTING,top3,-0.001366120218579181,-0.003984462151394419,0.0,0.0
MECHANISTIC_UPPER_BOUND / HIST_GRADIENT_BOOSTING,PROVENANCE_AWARE / HIST_GRADIENT_BOOSTING,top5,0.0,0.0,0.0,0.0
MECHANISTIC_UPPER_BOUND / HIST_GRADIENT_BOOSTING,PROVENANCE_AWARE / HIST_GRADIENT_BOOSTING,mrr,0.00011384335154829284,-0.007326007326007303,0.0074627980170830655,0.4715
MECHANISTIC_UPPER_BOUND / HIST_GRADIENT_BOOSTING,PROVENANCE_AWARE / HIST_GRADIENT_BOOSTING,ndcg5,8.416162793023485e-05,-0.005407622658293321,0.005508511140724595,0.48
MECHANISTIC_UPPER_BOUND / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,top1,0.006830601092896127,-0.008136034289213228,0.022558518938856617,0.7205
MECHANISTIC_UPPER_BOUND / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,top3,-0.001366120218579181,-0.003984462151394419,0.0,0.0
MECHANISTIC_UPPER_BOUND / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,top5,0.0,0.0,0.0,0.0
MECHANISTIC_UPPER_BOUND / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,mrr,0.003529143897996412,-0.004368721703452311,0.011378004160900887,0.771
MECHANISTIC_UPPER_BOUND / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,ndcg5,0.0026051332565404373,-0.0032562325076716915,0.008379772638806116,0.7775
REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / RANDOM_FOREST,top1,0.002732240437158473,-0.019013220909645075,0.023255813953488413,0.533
REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / RANDOM_FOREST,top3,0.001366120218579181,0.0,0.0040000000000000036,0.3665
REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / RANDOM_FOREST,top5,0.0,0.0,0.0,0.0
REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / RANDOM_FOREST,mrr,0.0019353369763205341,-0.009294491117880976,0.012637676403019524,0.619
REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / RANDOM_FOREST,ndcg5,0.0014608243742166849,-0.006800169823901278,0.00939526288282039,0.6235
REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / LOGISTIC_REGRESSION,top1,0.031420765027322384,0.007661378436257219,0.05691366039135673,0.995
REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / LOGISTIC_REGRESSION,top3,0.002732240437158473,0.0,0.007722007722007707,0.601
REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / LOGISTIC_REGRESSION,top5,0.0,0.0,0.0,0.0
REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / LOGISTIC_REGRESSION,mrr,0.016848816029143787,0.00451199898176439,0.030130407124682033,0.997
REALISTIC_BASELINE / HIST_GRADIENT_BOOSTING,REALISTIC_BASELINE / LOGISTIC_REGRESSION,ndcg5,0.012501340937152272,0.0033870957308422267,0.02231101329400235,0.998
