regime,model,difficulty_bucket,rfqs,top1,top3,top5,top10,mrr,ndcg5,mean_true_rank,median_true_rank
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,1,190,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,2,204,0.9362745098039216,1.0,1.0,1.0,0.9681372549019608,0.9764808176295536,1.0637254901960784,1.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,3-5,208,0.9134615384615384,1.0,1.0,1.0,0.9567307692307693,0.968061228674453,1.0865384615384615,1.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,6-10,101,0.8811881188118812,0.9900990099009901,1.0,1.0,0.9381188118811881,0.9541673648253409,1.1386138613861385,1.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,11-50,29,0.8620689655172413,1.0,1.0,1.0,0.9310344827586207,0.9490937591133045,1.1379310344827587,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,1,190,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,2,204,0.9411764705882353,1.0,1.0,1.0,0.9705882352941176,0.9782899855042034,1.0588235294117647,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,3-5,208,0.9038461538461539,1.0,1.0,1.0,0.9519230769230769,0.9645124763049479,1.0961538461538463,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,6-10,101,0.8811881188118812,1.0,1.0,1.0,0.9389438943894389,0.9548537355374855,1.1287128712871286,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,11-50,29,0.8275862068965517,1.0,1.0,1.0,0.9137931034482759,0.9363671988916307,1.1724137931034482,1.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,1,190,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,2,204,0.9362745098039216,1.0,1.0,1.0,0.9681372549019608,0.9764808176295536,1.0637254901960784,1.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,3-5,208,0.9086538461538461,1.0,1.0,1.0,0.9543269230769231,0.9662868524897005,1.0913461538461537,1.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,6-10,101,0.8811881188118812,0.9900990099009901,1.0,1.0,0.9381188118811881,0.9541673648253409,1.1386138613861385,1.0
