regime,model,feature,importance,rank
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP1,1.5180180003431138,1
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,1.4187318915547804,2
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_dynamicGasMaster__1,0.9522472539306371,3
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_dynamicGasMaster__NOVALUE,0.9522472539306371,4
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP4,0.9276191656962439,5
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,0.8526570410097241,6
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.8465480553250492,7
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_customUserFluid__1,0.7884557254957215,8
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_customUserFluid__NOVALUE,0.7884557254957205,9
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_dev_advMeterVerification__1,0.7729788063494082,10
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_dev_advMeterVerification__NOVALUE,0.7729788063494082,11
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__CS1,0.7316504711915438,12
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__CS2,0.7048768090843527,13
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_temperaturEingaenge__TT1,0.5122465037144474,14
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_temperaturEingaenge__NOVALUE,0.5122465037144474,15
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,0.34333249393317483,16
REALISTIC_BASELINE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP2,0.25614922067818013,17
