regime,pairwise_feature,audit_status
REALISTIC_BASELINE,CATDIFF__config_stromSchaltbar__CS1,APPROVED
REALISTIC_BASELINE,CATDIFF__config_stromSchaltbar__CS2,APPROVED
REALISTIC_BASELINE,CATDIFF__config_stromSchaltbar__NOVALUE,APPROVED
REALISTIC_BASELINE,CATDIFF__config_stromEingaenge__IS1,APPROVED
REALISTIC_BASELINE,CATDIFF__config_stromEingaenge__NOVALUE,APPROVED
REALISTIC_BASELINE,CATDIFF__config_temperaturEingaenge__NOVALUE,APPROVED
REALISTIC_BASELINE,CATDIFF__config_temperaturEingaenge__TT1,APPROVED
REALISTIC_BASELINE,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,APPROVED
REALISTIC_BASELINE,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,APPROVED
REALISTIC_BASELINE,CATDIFF__config_binaerDigitalOpenColl_MN__MN4,APPROVED
REALISTIC_BASELINE,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,APPROVED
REALISTIC_BASELINE,CATDIFF__config_binaerOpenColl_MP__MP1,APPROVED
REALISTIC_BASELINE,CATDIFF__config_binaerOpenColl_MP__MP2,APPROVED
REALISTIC_BASELINE,CATDIFF__config_binaerOpenColl_MP__MP4,APPROVED
REALISTIC_BASELINE,CATDIFF__config_binaerOpenColl_MP__NOVALUE,APPROVED
REALISTIC_BASELINE,CATDIFF__config_dev_advMeterVerification__1,APPROVED
REALISTIC_BASELINE,CATDIFF__config_dev_advMeterVerification__NOVALUE,APPROVED
REALISTIC_BASELINE,CATDIFF__config_dynamicGasMaster__1,APPROVED
REALISTIC_BASELINE,CATDIFF__config_dynamicGasMaster__NOVALUE,APPROVED
REALISTIC_BASELINE,CATDIFF__config_customUserFluid__1,APPROVED
REALISTIC_BASELINE,CATDIFF__config_customUserFluid__NOVALUE,APPROVED
PROVENANCE_AWARE,DIFF__source_frequency,APPROVED
PROVENANCE_AWARE,DIFF__nearest_real_distance,APPROVED
PROVENANCE_AWARE,DIFF__num_changed_characteristics,APPROVED
PROVENANCE_AWARE,DIFF__evidence_score,APPROVED
PROVENANCE_AWARE,CATDIFF__config_stromSchaltbar__CS1,APPROVED
PROVENANCE_AWARE,CATDIFF__config_stromSchaltbar__CS2,APPROVED
PROVENANCE_AWARE,CATDIFF__config_stromSchaltbar__NOVALUE,APPROVED
PROVENANCE_AWARE,CATDIFF__config_stromEingaenge__IS1,APPROVED
PROVENANCE_AWARE,CATDIFF__config_stromEingaenge__NOVALUE,APPROVED
PROVENANCE_AWARE,CATDIFF__config_temperaturEingaenge__NOVALUE,APPROVED
PROVENANCE_AWARE,CATDIFF__config_temperaturEingaenge__TT1,APPROVED
PROVENANCE_AWARE,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,APPROVED
PROVENANCE_AWARE,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,APPROVED
PROVENANCE_AWARE,CATDIFF__config_binaerDigitalOpenColl_MN__MN4,APPROVED
PROVENANCE_AWARE,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,APPROVED
PROVENANCE_AWARE,CATDIFF__config_binaerOpenColl_MP__MP1,APPROVED
PROVENANCE_AWARE,CATDIFF__config_binaerOpenColl_MP__MP2,APPROVED
PROVENANCE_AWARE,CATDIFF__config_binaerOpenColl_MP__MP4,APPROVED
PROVENANCE_AWARE,CATDIFF__config_binaerOpenColl_MP__NOVALUE,APPROVED
PROVENANCE_AWARE,CATDIFF__config_dev_advMeterVerification__1,APPROVED
PROVENANCE_AWARE,CATDIFF__config_dev_advMeterVerification__NOVALUE,APPROVED
PROVENANCE_AWARE,CATDIFF__config_dynamicGasMaster__1,APPROVED
PROVENANCE_AWARE,CATDIFF__config_dynamicGasMaster__NOVALUE,APPROVED
PROVENANCE_AWARE,CATDIFF__config_customUserFluid__1,APPROVED
PROVENANCE_AWARE,CATDIFF__config_customUserFluid__NOVALUE,APPROVED
PROVENANCE_AWARE,CATDIFF__record_type__DERIVED,APPROVED
PROVENANCE_AWARE,CATDIFF__record_type__OBSERVED,APPROVED
PROVENANCE_AWARE,CATDIFF__generation_method__DEPENDENCY_TWO_CHARACTERISTIC,APPROVED
PROVENANCE_AWARE,CATDIFF__generation_method__ONE_CHARACTERISTIC,APPROVED
