rfq_id,candidate_count_x,true_rank,top1,top3,top5,top10,mrr,ndcg5,true_configuration_id,predicted_configuration_id,engineer_configuration_id,error_type,candidate_count_y,difficulty_bucket
RFQ731-000041,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_a56f1437a0b4ca31,CFG731_c3a136a8630f644d,CFG731_d71a39e1fcf17083,IDENTITY_REFERENCE_MISMATCH,6,6-10
RFQ731-000111,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_672458a8e716cdf8,CFG731_bbcb665ced67f8c3,CFG731_2e5bd0d53757f625,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-000592,10,2,0,1,1,1,0.5,0.6309297535714575,CFG731_a40ab19ad6671fbe,CFG731_e0009be417f51ccd,CFG731_77fac91021549398,IDENTITY_REFERENCE_MISMATCH,10,6-10
RFQ731-000664,6,4,0,0,1,1,0.25,0.43067655807339306,CFG731_c32627af59ba1526,CFG731_831a7150258499af,CFG731_db27f1c998b6e675,IDENTITY_REFERENCE_MISMATCH,6,6-10
RFQ731-000687,10,2,0,1,1,1,0.5,0.6309297535714575,CFG731_a40ab19ad6671fbe,CFG731_e0009be417f51ccd,CFG731_77fac91021549398,IDENTITY_REFERENCE_MISMATCH,10,6-10
RFQ731-000737,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_70aa5a64b0803277,CFG731_36c553adc9f5ebf3,CFG731_8956c16bd3b9a345,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-000761,6,2,0,1,1,1,0.5,0.6309297535714575,CFG731_0db950a4979d2c52,CFG731_5e61ce3b60d15e11,CFG731_243419c6708378b3,IDENTITY_REFERENCE_MISMATCH,6,6-10
RFQ731-000859,4,2,0,1,1,1,0.5,0.6309297535714575,CFG731_04a53b6cc81d57d6,CFG731_89772de94df83ba5,CFG731_6d0d64ab66a91d89,IDENTITY_REFERENCE_MISMATCH,4,3-5
RFQ731-001070,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_ac8195f5cce7d089,CFG731_6e096e946540ab4e,CFG731_ac8195f5cce7d089,RANKING_MISMATCH,2,2
RFQ731-001087,2,2,0,1,1,1,0.5,0.6309297535714575,CFG731_70b38ab75d3ca724,CFG731_32b1041fd68aac23,CFG731_70b38ab75d3ca724,RANKING_MISMATCH,2,2
