regime,model,rfq_id,predicted_configuration_id,engineer_configuration_id,category,mandatory_count,mandatory_violations,preferred_count,preferred_differences
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000011,CFG731_8b18ac1c34209d63,CFG731_cd71ec2726e971ef,MANDATORY_AND_PREFERRED_EQUIVALENT,13,0,1,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000014,CFG731_5dd42015f6f61801,CFG731_5c624ef6fa2b6510,MANDATORY_AND_PREFERRED_EQUIVALENT,9,0,6,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000020,CFG731_8d2d91c46ccfb471,CFG731_48772fd385d8dcd5,MANDATORY_AND_PREFERRED_EQUIVALENT,10,0,5,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000033,CFG731_faff6da73df00950,CFG731_faff6da73df00950,EXACT_ENGINEER_CHOICE,10,0,4,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000041,CFG731_c3a136a8630f644d,CFG731_d71a39e1fcf17083,MANDATORY_AND_PREFERRED_EQUIVALENT,12,0,2,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000042,CFG731_91e51485b56960b2,CFG731_8e5ce09a779d2284,MANDATORY_AND_PREFERRED_EQUIVALENT,8,0,6,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000053,CFG731_1cbb464ec15ba84f,CFG731_1cbb464ec15ba84f,EXACT_ENGINEER_CHOICE,11,0,4,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000058,CFG731_70b6eaf9262ca4d0,CFG731_400b0d973c930668,MANDATORY_AND_PREFERRED_EQUIVALENT,10,0,1,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000065,CFG731_c39096767a7ae083,CFG731_f57ccd8e79618aa1,MANDATORY_AND_PREFERRED_EQUIVALENT,12,0,2,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000067,CFG731_31c4aded40f9387f,CFG731_31c4aded40f9387f,EXACT_ENGINEER_CHOICE,13,0,3,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000071,CFG731_19ec976991ce75a9,CFG731_19f7d73d8e42e7bd,MANDATORY_AND_PREFERRED_EQUIVALENT,10,0,2,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000099,CFG731_5dd42015f6f61801,CFG731_917fc613cc9bf56a,MANDATORY_AND_PREFERRED_EQUIVALENT,8,0,6,0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000101,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,EXACT_ENGINEER_CHOICE,10,0,3,0
