regime,model,feature,importance,rank,abs_importance
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,DIFF__nearest_real_distance,-0.0304,41,0.0304
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,DIFF__low_change_score,-0.0292,40,0.0292
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,DIFF__source_frequency,-0.0194,39,0.0194
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,0.0135999999999999,1,0.0135999999999999
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.0134,2,0.0134
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,DIFF__num_changed_characteristics,-0.0118666666666666,38,0.0118666666666666
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__evidence_level__MODERATE,-0.0089333333333333,37,0.0089333333333333
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromEingaenge__IS1,0.0083999999999999,3,0.0083999999999999
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,DIFF__evidence_score,-0.007,36,0.007
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_temperaturEingaenge__NOVALUE,-0.0046,35,0.0046
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_dev_advMeterVerification__1,0.0021333333333333,4,0.0021333333333333
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,DIFF__real_proximity_score,-0.0018666666666667,34,0.0018666666666667
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_customUserFluid__1,0.0016666666666666,5,0.0016666666666666
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_dev_advMeterVerification__NOVALUE,0.0013999999999999,6,0.0013999999999999
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__CS1,0.0012666666666666,7,0.0012666666666666
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_temperaturEingaenge__TT1,-0.001,33,0.001
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__NOVALUE,0.0007333333333332,8,0.0007333333333332
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_dynamicGasMaster__NOVALUE,0.0006,9,0.0006
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_dynamicGasMaster__1,0.0006,10,0.0006
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__MP1,-0.0004666666666666,32,0.0004666666666666
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_customUserFluid__NOVALUE,0.0003333333333332,11,0.0003333333333332
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromEingaenge__NOVALUE,0.0001333333333333,12,0.0001333333333333
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__CS2,6.666666666665932e-05,13,6.666666666665932e-05
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__generation_method__ONE_CHARACTERISTIC,0.0,14,0.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,CATDIFF__record_type__DERIVED,0.0,15,0.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,DIFF__evidence_score_normalized,0.0,16,0.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,DIFF__observed_configuration_score,0.0,17,0.0
