regime,model,rfq_id,predicted_configuration_id,engineer_configuration_id,candidate_count,true_rank,category
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000011,CFG731_8b18ac1c34209d63,CFG731_8b18ac1c34209d63,4,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000014,CFG731_5dd42015f6f61801,CFG731_5dd42015f6f61801,4,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000020,CFG731_8d2d91c46ccfb471,CFG731_8d2d91c46ccfb471,2,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000033,CFG731_faff6da73df00950,CFG731_faff6da73df00950,1,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000041,CFG731_c3a136a8630f644d,CFG731_a56f1437a0b4ca31,6,2,MANDATORY_AND_PREFERRED_EQUIVALENT
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000042,CFG731_91e51485b56960b2,CFG731_91e51485b56960b2,6,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000053,CFG731_1cbb464ec15ba84f,CFG731_1cbb464ec15ba84f,2,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000058,CFG731_70b6eaf9262ca4d0,CFG731_70b6eaf9262ca4d0,2,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000065,CFG731_c39096767a7ae083,CFG731_c39096767a7ae083,10,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000067,CFG731_31c4aded40f9387f,CFG731_31c4aded40f9387f,1,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000071,CFG731_19ec976991ce75a9,CFG731_19ec976991ce75a9,2,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000099,CFG731_5dd42015f6f61801,CFG731_5dd42015f6f61801,7,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000101,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,1,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000107,CFG731_8c50542218db5cb0,CFG731_8c50542218db5cb0,6,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000109,CFG731_8d78781f8753b72a,CFG731_8d78781f8753b72a,1,1,EXACT_ENGINEER_CHOICE
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000111,CFG731_bbcb665ced67f8c3,CFG731_672458a8e716cdf8,4,2,MANDATORY_AND_PREFERRED_EQUIVALENT
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,RFQ731-000113,CFG731_4ca309199387f8d5,CFG731_4ca309199387f8d5,1,1,EXACT_ENGINEER_CHOICE
