Unnamed: 0,OrgUnitAreaOfDocument,marke,packageFixed_dev,installationsart,devCategory,type,characteristic,housing,powerSupply,numberOfChannels,explosionApproval,protectionArea,intrinsicSafety,certification,dataInterface,binaerDigitalOptoRelay,binaerDigitalReedRelay,binaerDigitalOpenColl_MN,binaerDigitalOpenCollExia_MA,binaerOpenColl_MP,binaerOpenColl_BC,binaerOpenColl_SC,binaerOpenColl30v,binaerOpenCollExib,binaerOpenCollNamur,binaerOptoRelay_BO,binaerOptoRelay_SO,binaerReedRelay_BR,binaerReedRelay_SR,frequenz0_5khz_FO,frequenz0_5khz_FC,frequenz0_5khzNamur,frequenz5_15HzExia,spannung0_10v,spannung0_1v,stromAktiv,stromAktiv24,stromPassiv,stromPassivExib,StromPassivExia,stromSchaltbar,binaerEingaenge,spannungsEingaenge,stromEingaenge,stromEingaenge_passiv,stromEingaengeExia,temperaturEingaenge,temperaturEingaengeExi,hardwareAP,steamApplication,waveInjector,tagPlate,inclusiveManual,powerCable,carryingCase,measuringTape,dev_advMeterVerification,dynamicGasMaster,customUserFluid
May,"in {0, 1, 2, 3}",'flexim',"in {NOVALUE, 'x731'}",'stationaer','F','731','GP',"in {'ST', 'AL'}","in {'1', '4'}","in {1, 2}",'N','N','N',"in {'NN', 'WN', 'FN'}","in {'NN', 'MT', 'BT'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,NOVALUE," in {NOVALUE, 'TT1', 'TT2'}",NOVALUE,NOVALUE,NOVALUE,"in {'FWI', 'FWY', NOVALUE}","in {NOVALUE, 1}",'QI',NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 1}",NOVALUE,"in {NOVALUE, 1}"
May,"in {0, 1, 2, 3}",'flexim',"in {NOVALUE, 'x731'}",'stationaer','F','731','GP',"in {'ST', 'AL'}","in {'1', '4'}","in {1, 2}",'N','N','N',"in {'NN', 'WN', 'FN'}","in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,NOVALUE," in {NOVALUE, 'TT1', 'TT2'}",NOVALUE,NOVALUE,NOVALUE,"in {'FWI', 'FWY', NOVALUE}","in {NOVALUE, 1}",'QI',NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 1}",NOVALUE,"in {NOVALUE, 1}"
May,"in {0, 1, 2, 3}",'flexim',"in {NOVALUE, 'x731'}",'stationaer','F','731','GP',"in {'ST', 'AL'}","in {'1', '4'}","in {1, 2}",'N','N','N',"in {'NN', 'WN', 'FN'}",'HS',NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'CS1'}",NOVALUE,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,NOVALUE," in {NOVALUE, 'TT1', 'TT2'}",NOVALUE,NOVALUE,NOVALUE,"in {'FWI', 'FWY', NOVALUE}","in {NOVALUE, 1}",'QI',NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 1}",NOVALUE,"in {NOVALUE, 1}"
May,"in {0, 1, 2, 3}",'flexim',"in {NOVALUE, 'x731'}",'stationaer','F','731','GP',"in {'ST', 'AL'}","in {'1', '4'}","in {1, 2}",'N','N','N',"in {'NN', 'WN', 'FN'}","in {'NN', 'MT', 'BT'}",NOVALUE,NOVALUE,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,NOVALUE," in {NOVALUE, 'TT1', 'TT2'}",NOVALUE,NOVALUE,NOVALUE,"in {'FWI', 'FWY', NOVALUE}","in {NOVALUE, 1}",'QI',NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 1}",NOVALUE,"in {NOVALUE, 1}"
May,"in {0, 1, 2, 3}",'flexim',"in {NOVALUE, 'x731'}",'stationaer','F','731','GP',"in {'ST', 'AL'}","in {'1', '4'}","in {1, 2}",'N','N','N',"in {'NN', 'WN', 'FN'}","in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",NOVALUE,NOVALUE,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,NOVALUE," in {NOVALUE, 'TT1', 'TT2'}",NOVALUE,NOVALUE,NOVALUE,"in {'FWI', 'FWY', NOVALUE}","in {NOVALUE, 1}",'QI',NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 1}",NOVALUE,"in {NOVALUE, 1}"
May,"in {0, 1, 2, 3}",'flexim',"in {NOVALUE, 'x731'}",'stationaer','F','731','GP',"in {'ST', 'AL'}","in {'1', '4'}","in {1, 2}",'N','N','N',"in {'NN', 'WN', 'FN'}",'HS',NOVALUE,NOVALUE,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'CS1'}",NOVALUE,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,NOVALUE," in {NOVALUE, 'TT1', 'TT2'}",NOVALUE,NOVALUE,NOVALUE,"in {'FWI', 'FWY', NOVALUE}","in {NOVALUE, 1}",'QI',NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 1}",NOVALUE,"in {NOVALUE, 1}"
May,"in {0, 1, 2, 3}",'flexim',"in {NOVALUE, 'x731'}",'stationaer','F','731','GP',"in {'ST', 'AL'}","in {'1', '4'}","in {1, 2}","in {'A', 'E', 'P', 'J', 'S'}",'2','N',"in {'NN', 'WN'}",'NN',NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,NOVALUE," in {NOVALUE, 'TT1', 'TT2'}",NOVALUE,NOVALUE,NOVALUE,"in {'FWI', 'FWY', NOVALUE}","in {NOVALUE, 1}",'QI',NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 1}",NOVALUE,"in {NOVALUE, 1}"
May,"in {0, 1, 2, 3}",'flexim',"in {NOVALUE, 'x731'}",'stationaer','F','731','GP',"in {'ST', 'AL'}","in {'1', '4'}","in {1, 2}","in {'A', 'E', 'P', 'J', 'S'}",'2','N',"in {'NN', 'WN'}","in {'NN', 'PA', 'MR', 'FF', 'BM'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,NOVALUE," in {NOVALUE, 'TT1', 'TT2'}",NOVALUE,NOVALUE,NOVALUE,"in {'FWI', 'FWY', NOVALUE}","in {NOVALUE, 1}",'QI',NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 1}",NOVALUE,"in {NOVALUE, 1}"
May,"in {0, 1, 2, 3}",'flexim',"in {NOVALUE, 'x731'}",'stationaer','F','731','GP',"in {'ST', 'AL'}","in {'1', '4'}","in {1, 2}","in {'A', 'E', 'P', 'J', 'S'}",'2','N',"in {'NN', 'WN'}",'HS',NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'CS1'}",NOVALUE,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,NOVALUE," in {NOVALUE, 'TT1', 'TT2'}",NOVALUE,NOVALUE,NOVALUE,"in {'FWI', 'FWY', NOVALUE}","in {NOVALUE, 1}",'QI',NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 1}",NOVALUE,"in {NOVALUE, 1}"
May,"in {0, 1, 2, 3}",'flexim',"in {NOVALUE, 'x731'}",'stationaer','F','731','GP',"in {'ST', 'AL'}","in {'1', '4'}","in {1, 2}","in {'A', 'E', 'P', 'J', 'S'}",'2','N',"in {'NN', 'WN'}",'NN',NOVALUE,NOVALUE,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,NOVALUE,"in {NOVALUE, 'IS1', 'IS2'}",NOVALUE,NOVALUE," in {NOVALUE, 'TT1', 'TT2'}",NOVALUE,NOVALUE,NOVALUE,"in {'FWI', 'FWY', NOVALUE}","in {NOVALUE, 1}",'QI',NOVALUE,NOVALUE,NOVALUE,"in {NOVALUE, 1}",NOVALUE,"in {NOVALUE, 1}"
