canonical_configuration_id,package_context,source_canonical_configuration_id,source_row,generation_method,num_changed_characteristics,changed_characteristics,nearest_real_distance,constraint_valid,devCategory,characteristic,housing,powerSupply,numberOfChannels,explosionApproval,protectionArea,certification,dataInterface,stromSchaltbar,stromEingaenge,temperaturEingaenge,binaerDigitalOpenColl_MN,binaerOpenColl_MP,waveInjector,dev_advMeterVerification,dynamicGasMaster,customUserFluid,steamApplication
CFG731_da118a49aa95b465,x731,CFG731_337790e6bbcf15f4,0,ONE_CHARACTERISTIC,1,devCategory,1,True,G,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_7c358bf1aa4ea94e,x731,CFG731_337790e6bbcf15f4,0,ONE_CHARACTERISTIC,1,powerSupply,1,True,F,GP,ST,4,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_57b3b3a6958ee330,x731,CFG731_337790e6bbcf15f4,0,ONE_CHARACTERISTIC,1,stromSchaltbar,1,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_48cf6bd4ca59e583,x731,CFG731_337790e6bbcf15f4,0,ONE_CHARACTERISTIC,1,binaerOpenColl_MP,1,True,F,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
CFG731_631dadb7c0c7adf5,x731,CFG731_337790e6bbcf15f4,0,ONE_CHARACTERISTIC,1,dev_advMeterVerification,1,True,F,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE
CFG731_de32c30417f0baf1,x731,CFG731_337790e6bbcf15f4,0,ONE_CHARACTERISTIC,1,customUserFluid,1,True,F,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,NOVALUE,NOVALUE
CFG731_9e1cb28372f6bf0e,x731,CFG731_337790e6bbcf15f4,0,DEPENDENCY_TWO_CHARACTERISTIC,2,stromEingaenge|temperaturEingaenge,1,True,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_9fcbeaf9d5010d3a,x731,CFG731_337790e6bbcf15f4,0,DEPENDENCY_TWO_CHARACTERISTIC,2,stromSchaltbar|stromEingaenge,1,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_6be2d8f04f4b5682,x731,CFG731_337790e6bbcf15f4,0,DEPENDENCY_TWO_CHARACTERISTIC,2,stromSchaltbar|temperaturEingaenge,1,True,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
CFG731_394467ef6f1efe82,x731,CFG731_337790e6bbcf15f4,0,TWO_CHARACTERISTIC,2,devCategory|powerSupply,2,True,G,GP,ST,4,1,N,N,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
