synthetic_id,data_origin,generation_method,source_row,package_context,changed_characteristics,num_changed_characteristics,pairwise_compatibility_score,constraint_valid,exact_duplicate_of_real,novelty_score,OrgUnitAreaOfDocument,marke,packageFixed_dev,installationsart,devCategory,type,characteristic,housing,powerSupply,numberOfChannels,explosionApproval,protectionArea,intrinsicSafety,certification,dataInterface,binaerDigitalOptoRelay,binaerDigitalReedRelay,binaerDigitalOpenColl_MN,binaerDigitalOpenCollExia_MA,binaerOpenColl_MP,binaerOpenColl_BC,binaerOpenColl_SC,binaerOpenColl30v,binaerOpenCollExib,binaerOpenCollNamur,binaerOptoRelay_BO,binaerOptoRelay_SO,binaerReedRelay_BR,binaerReedRelay_SR,frequenz0_5khz_FO,frequenz0_5khz_FC,frequenz0_5khzNamur,frequenz5_15HzExia,spannung0_10v,spannung0_1v,stromAktiv,stromAktiv24,stromPassiv,stromPassivExib,StromPassivExia,stromSchaltbar,binaerEingaenge,spannungsEingaenge,stromEingaenge,stromEingaenge_passiv,stromEingaengeExia,temperaturEingaenge,temperaturEingaengeExi,hardwareAP,steamApplication,waveInjector,tagPlate,inclusiveManual,powerCable,carryingCase,measuringTape,dev_advMeterVerification,dynamicGasMaster,customUserFluid
SYN_731_000001,SYNTHETIC,constrained_empirical_recombination,570,x731,temperaturEingaenge|dev_advMeterVerification|certification|customUserFluid,4,1.0,True,False,0.05084745762711865,0,flexim,x731,stationaer,F,731,GP,ST,4,1,N,N,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE
SYN_731_000002,SYNTHETIC,constrained_empirical_recombination,769,x731,certification,1,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,S,731,GP,ST,4,1,A,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE
SYN_731_000003,SYNTHETIC,constrained_empirical_recombination,71,x731,dev_advMeterVerification,1,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,F,731,GP,ST,1,1,A,2,N,NN,HS,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1
SYN_731_000004,SYNTHETIC,constrained_empirical_recombination,560,x731,devCategory,1,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,G,731,GP,ST,4,1,N,N,N,MN,HS,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE,1
SYN_731_000005,SYNTHETIC,constrained_empirical_recombination,554,x731,temperaturEingaenge|certification,2,1.0,True,False,0.03389830508474576,0,flexim,x731,stationaer,F,731,GP,ST,4,1,N,N,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE,1
SYN_731_000006,SYNTHETIC,constrained_empirical_recombination,134,x731,powerSupply|dev_advMeterVerification|stromEingaenge,3,1.0,True,False,0.03389830508474576,0,flexim,x731,stationaer,G,731,GP,ST,4,1,A,2,N,NN,NN,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1,1
SYN_731_000007,SYNTHETIC,constrained_empirical_recombination,1015,G731ST-HT,binaerOpenColl_MP|binaerDigitalOpenColl_MN|explosionApproval|stromEingaenge,4,1.0,True,False,0.03389830508474576,3,flexim,G731ST-HT,stationaer,G,731,ST,ST,1,2,A,2,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,H,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,1
SYN_731_000008,SYNTHETIC,constrained_empirical_recombination,849,x731,powerSupply|customUserFluid,2,1.0,True,False,0.03389830508474576,3,flexim,x731,stationaer,F,731,GP,ST,4,1,K,2,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE,NOVALUE
SYN_731_000009,SYNTHETIC,constrained_empirical_recombination,64,x731,stromEingaenge|dataInterface|dev_advMeterVerification|customUserFluid,4,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,F,731,GP,ST,1,1,A,2,N,NN,HS,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE
SYN_731_000010,SYNTHETIC,constrained_empirical_recombination,94,x731,dataInterface,1,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,G,731,GP,ST,1,1,N,N,N,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,IS1,NOVALUE,NOVALUE,TT1,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,1,1
SYN_731_000011,SYNTHETIC,constrained_empirical_recombination,550,x731,devCategory|explosionApproval|protectionArea,3,1.0,True,False,0.01694915254237288,0,flexim,x731,stationaer,G,731,GP,ST,4,1,A,2,N,MN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,CS1,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,FWI,1,QI,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE,1
