synthetic_record_id,canonical_configuration_id,package_context,record_type,generation_method,source_canonical_configuration_id,source_frequency,nearest_real_distance,num_changed_characteristics,changed_characteristics,constraint_valid,evidence_level,evidence_score,devCategory,characteristic,housing,powerSupply,numberOfChannels,explosionApproval,protectionArea,certification,dataInterface,stromSchaltbar,stromEingaenge,temperaturEingaenge,binaerDigitalOpenColl_MN,binaerOpenColl_MP,waveInjector,dev_advMeterVerification,dynamicGasMaster,customUserFluid,steamApplication,synthetic_dataset,technical_configuration_status
SYN731_000001,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,OBSERVED,REAL_OBSERVED,CFG731_4aa7d46b9cfa7d7b,7,0,0,,True,OBSERVED,100.0,G,ST,ST,1,2,F,2,NN,NN,CS1,IS1,TT1,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,1,H,731_V5,REAL_OBSERVED
SYN731_000002,CFG731_747411fe70ba8e8d,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_62d0f0f6bab9bdcb,0,2,2,devCategory|dev_advMeterVerification,True,LOW,53.4,G,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000003,CFG731_620cb319c2b7c332,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_efc9d6b915117e15,0,1,1,devCategory,True,VERY_STRONG,93.0,G,GP,ST,1,1,A,2,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000004,CFG731_72df885ca96d73fd,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_98bdc6937e342d40,0,2,2,stromEingaenge|binaerOpenColl_MP,True,LOW,48.2,G,GP,ST,1,1,K,2,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,NOVALUE,FWI,1,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000005,CFG731_bbffb73f3dff6787,G731ST-HT,OBSERVED,REAL_OBSERVED,CFG731_bbffb73f3dff6787,7,0,0,,True,OBSERVED,100.0,G,ST,ST,1,2,K,2,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,H,731_V5,REAL_OBSERVED
SYN731_000006,CFG731_df5f598a914fb1cc,x731,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,CFG731_181ea7d5a9c21b8c,0,1,2,stromSchaltbar|temperaturEingaenge,True,VERY_STRONG,98.2,G,GP,ST,4,1,N,N,MN,NN,NOVALUE,NOVALUE,NOVALUE,MN1,NOVALUE,FWI,1,1,1,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000007,CFG731_11c93eca01984a14,F731WD_SingleChannel,DERIVED,ONE_CHARACTERISTIC,CFG731_4ca309199387f8d5,0,1,1,dataInterface,True,VERY_STRONG,95.1,F,WD,ST,1,1,N,N,NN,PA,CS2,IS1,NOVALUE,NOVALUE,MP4,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000008,CFG731_f0cf22354800092d,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_24a2c6ef94654845,0,1,2,explosionApproval|customUserFluid,True,MODERATE,62.8,F,GP,ST,1,1,F,2,NN,NN,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,NOVALUE,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000009,CFG731_5bfe9492c76587ec,G731CA,DERIVED,ONE_CHARACTERISTIC,CFG731_164591062a2b3589,0,1,1,dataInterface,True,VERY_STRONG,95.1,G,CA,ST,1,1,F,2,NN,PA,CS2,IS1,TT1,MN4,NOVALUE,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000010,CFG731_91e51485b56960b2,x731,OBSERVED,REAL_OBSERVED,CFG731_91e51485b56960b2,7,0,0,,True,OBSERVED,100.0,G,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,MN1,NOVALUE,FWI,1,1,1,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000011,CFG731_07fb816f7dc25bc8,F731TE,OBSERVED,REAL_OBSERVED,CFG731_07fb816f7dc25bc8,2,0,0,,True,OBSERVED,100.0,F,TE,ST,1,1,A,2,NN,NN,CS2,NOVALUE,TT2,NOVALUE,MP4,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000012,CFG731_b43582909c828d95,G731CA,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,CFG731_d3d0547b464f691d,0,1,2,dataInterface|explosionApproval,True,VERY_STRONG,96.5,G,CA,ST,1,1,F,2,NN,HS,NOVALUE,IS1,TT1,NOVALUE,NOVALUE,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000013,CFG731_49cd4cbef1081333,G731ST-LT,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,CFG731_0e146b48e4ed8b98,0,1,2,stromSchaltbar|stromEingaenge,True,VERY_STRONG,98.2,G,ST,ST,1,1,A,2,NN,NN,NOVALUE,IS1,TT1,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N,731_V5,SYNTHETIC_DERIVED
SYN731_000014,CFG731_a9f22ebc14287e5d,F731PW,OBSERVED,REAL_OBSERVED,CFG731_a9f22ebc14287e5d,2,0,0,,True,OBSERVED,100.0,F,PW,ST,1,1,A,2,NN,NN,CS1,NOVALUE,NOVALUE,MN2,NOVALUE,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000015,CFG731_6f7a5cd92e9a022d,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_28ac43a93658ad6b,0,1,2,explosionApproval|customUserFluid,True,MODERATE,62.8,G,GP,ST,4,1,F,2,MN,NN,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,1,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000016,CFG731_32b4b1ec4513af66,G731ST-LT,OBSERVED,REAL_OBSERVED,CFG731_32b4b1ec4513af66,2,0,0,,True,OBSERVED,100.0,G,ST,ST,1,1,A,2,NN,HS,CS1,IS1,TT1,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N,731_V5,REAL_OBSERVED
SYN731_000017,CFG731_4666e845a9f787f7,x731,DERIVED,TWO_CHARACTERISTIC,CFG731_9f3028be2110afe1,0,2,2,devCategory|temperaturEingaenge,True,MODERATE,55.0,F,GP,ST,1,1,K,2,NN,NN,CS1,IS1,NOVALUE,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
SYN731_000018,CFG731_c7ca2f069d01e42d,G731CA,OBSERVED,REAL_OBSERVED,CFG731_c7ca2f069d01e42d,1,0,0,,True,OBSERVED,100.0,G,CA,ST,1,2,K,2,NN,HS,CS2,IS1,TT1,NOVALUE,MP4,NOVALUE,1,NOVALUE,NOVALUE,NOVALUE,731_V5,REAL_OBSERVED
SYN731_000019,CFG731_2497a004dc6e1657,x731,DERIVED,ONE_CHARACTERISTIC,CFG731_b65b306a03ca71c9,0,1,1,customUserFluid,True,VERY_STRONG,94.0,F,GP,ST,1,1,A,2,NN,NN,NOVALUE,IS1,NOVALUE,MN1,NOVALUE,FWI,1,NOVALUE,NOVALUE,NOVALUE,731_V5,SYNTHETIC_DERIVED
