rfq_id,target_package,canonical_configuration_id,ground_truth_configuration_id,package_context,record_type,generation_method,evidence_level,source_frequency,nearest_real_distance,num_changed_characteristics,evidence_score,mandatory_total,mandatory_satisfied,mandatory_violations,preferred_total,preferred_satisfied,preferred_differences,unmentioned_features,mandatory_valid,mandatory_preferred_valid,source_frequency_score,real_proximity_score,low_change_score,observed_configuration_score,evidence_score_normalized,synthetic_engineer_utility,tie_break_jitter,synthetic_engineer_score,preference_label_provenance,preference_generation_method,is_ground_truth_configuration,engineer_rank,candidate_count,is_synthetic_engineer_choice,pairwise_comparison_count
RFQ731-000001,X731,CFG731_9a0f0b26c7f24725,CFG731_bb4f0886ba308d63,x731,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,10,10,0,4,4,0,5,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,0.849624060150376,5.11258e-07,0.849624571408376,SYNTHETIC,synthetic_engineer_v1,False,1,7,True,6
RFQ731-000001,X731,CFG731_83f956404d04e6cd,CFG731_bb4f0886ba308d63,x731,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,10,10,0,4,4,0,5,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,0.849624060150376,4.70271e-07,0.849624530421376,SYNTHETIC,synthetic_engineer_v1,False,2,7,False,5
RFQ731-000001,X731,CFG731_ec83ad3bde5df955,CFG731_bb4f0886ba308d63,x731,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,68.8,10,10,0,4,4,0,5,True,True,0.0,0.5,0.0,0.0,0.42647058823529405,0.3636996904024768,7.34621e-07,0.36370042502347677,SYNTHETIC,synthetic_engineer_v1,False,3,7,False,4
RFQ731-000001,X731,CFG731_399690ce112d8d2a,CFG731_bb4f0886ba308d63,x731,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,68.8,10,10,0,4,4,0,5,True,True,0.0,0.5,0.0,0.0,0.42647058823529405,0.3636996904024768,5.358e-07,0.3637002262024768,SYNTHETIC,synthetic_engineer_v1,False,4,7,False,3
RFQ731-000001,X731,CFG731_142da525ddb90041,CFG731_bb4f0886ba308d63,x731,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,68.8,10,10,0,4,4,0,5,True,True,0.0,0.5,0.0,0.0,0.42647058823529405,0.3636996904024768,4.34661e-07,0.3637001250634768,SYNTHETIC,synthetic_engineer_v1,False,5,7,False,2
RFQ731-000001,X731,CFG731_813afad06fd4a0a8,CFG731_bb4f0886ba308d63,x731,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,68.8,10,10,0,4,4,0,5,True,True,0.0,0.5,0.0,0.0,0.42647058823529405,0.3636996904024768,2.99894e-07,0.3636999902964768,SYNTHETIC,synthetic_engineer_v1,False,6,7,False,1
RFQ731-000001,X731,CFG731_bb4f0886ba308d63,CFG731_bb4f0886ba308d63,x731,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,2,2,55.0,10,10,0,4,4,0,5,True,True,0.0,0.0,0.0,0.0,0.1727941176470588,0.23833204334365327,5.54749e-07,0.23833259809265325,SYNTHETIC,synthetic_engineer_v1,True,7,7,False,0
RFQ731-000002,X731,CFG731_83f956404d04e6cd,CFG731_83f956404d04e6cd,x731,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,11,11,0,6,6,0,2,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,0.8969924812030076,1.45952e-07,0.8969926271550076,SYNTHETIC,synthetic_engineer_v1,True,1,1,True,0
RFQ731-000003,X731,CFG731_abcee67081353f16,CFG731_bd00839e452c6958,x731,OBSERVED,REAL_OBSERVED,OBSERVED,7,0,0,100.0,9,9,0,4,4,0,6,True,True,1.0,1.0,1.0,1.0,1.0,0.9052631578947369,5.56574e-07,0.9052637144687369,SYNTHETIC,synthetic_engineer_v1,False,1,7,True,6
RFQ731-000003,X731,CFG731_b54844b4c5cc208b,CFG731_bd00839e452c6958,x731,OBSERVED,REAL_OBSERVED,OBSERVED,4,0,0,100.0,9,9,0,4,4,0,6,True,True,0.5714285714285714,1.0,1.0,1.0,1.0,0.8624060150375941,3.7319e-07,0.8624063882275941,SYNTHETIC,synthetic_engineer_v1,False,2,7,False,5
RFQ731-000003,X731,CFG731_26a55fc6510692e1,CFG731_bd00839e452c6958,x731,DERIVED,ONE_CHARACTERISTIC,VERY_STRONG,0,1,1,94.2,9,9,0,4,4,0,6,True,True,0.0,0.5,0.5,0.0,0.8933823529411765,0.4696013931888545,3.56488e-07,0.46960174967685453,SYNTHETIC,synthetic_engineer_v1,False,3,7,False,4
RFQ731-000003,X731,CFG731_23d75dfa953165d2,CFG731_bd00839e452c6958,x731,DERIVED,ONE_CHARACTERISTIC,VERY_STRONG,0,1,1,94.0,9,9,0,4,4,0,6,True,True,0.0,0.5,0.5,0.0,0.8897058823529411,0.469233746130031,7.17726e-07,0.469234463856031,SYNTHETIC,synthetic_engineer_v1,False,4,7,False,3
RFQ731-000003,X731,CFG731_3d5919a152529e0c,CFG731_bd00839e452c6958,x731,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,9,9,0,4,4,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,0.40195433436532507,6.55153e-07,0.4019549895183251,SYNTHETIC,synthetic_engineer_v1,False,5,7,False,2
RFQ731-000003,X731,CFG731_97fec9a076550ea5,CFG731_bd00839e452c6958,x731,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,64.4,9,9,0,4,4,0,6,True,True,0.0,0.5,0.0,0.0,0.34558823529411775,0.3398219814241486,3.7995e-08,0.3398220194191486,SYNTHETIC,synthetic_engineer_v1,False,6,7,False,1
RFQ731-000003,X731,CFG731_bd00839e452c6958,CFG731_bd00839e452c6958,x731,DERIVED,TWO_CHARACTERISTIC,LOW,0,2,2,54.2,9,9,0,4,4,0,6,True,True,0.0,0.0,0.0,0.0,0.15808823529411767,0.2210719814241486,5.6524e-07,0.2210725466641486,SYNTHETIC,synthetic_engineer_v1,True,7,7,False,0
RFQ731-000004,G731ST-LT,CFG731_996314000fcfec4b,CFG731_de503c5e46490150,G731ST-LT,OBSERVED,REAL_OBSERVED,OBSERVED,7,0,0,100.0,10,10,0,3,3,0,6,True,True,1.0,1.0,1.0,1.0,1.0,0.9052631578947369,8.95956e-07,0.9052640538507368,SYNTHETIC,synthetic_engineer_v1,False,1,8,True,7
RFQ731-000004,G731ST-LT,CFG731_455da2f832a6b66d,CFG731_de503c5e46490150,G731ST-LT,OBSERVED,REAL_OBSERVED,OBSERVED,4,0,0,100.0,10,10,0,3,3,0,6,True,True,0.5714285714285714,1.0,1.0,1.0,1.0,0.8624060150375941,6.29673e-07,0.862406644710594,SYNTHETIC,synthetic_engineer_v1,False,2,8,False,6
RFQ731-000004,G731ST-LT,CFG731_ae877a3b18b65d0a,CFG731_de503c5e46490150,G731ST-LT,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,10,10,0,3,3,0,6,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,0.8338345864661655,8.30299e-07,0.8338354167651655,SYNTHETIC,synthetic_engineer_v1,False,3,8,False,5
RFQ731-000004,G731ST-LT,CFG731_98bb5036a27a91a8,CFG731_de503c5e46490150,G731ST-LT,OBSERVED,REAL_OBSERVED,OBSERVED,1,0,0,100.0,10,10,0,3,3,0,6,True,True,0.14285714285714285,1.0,1.0,1.0,1.0,0.8195488721804511,2.44486e-07,0.8195491166664511,SYNTHETIC,synthetic_engineer_v1,False,4,8,False,4
RFQ731-000004,G731ST-LT,CFG731_4c72f78c1186e8f7,CFG731_de503c5e46490150,G731ST-LT,DERIVED,ONE_CHARACTERISTIC,VERY_STRONG,0,1,1,94.2,10,10,0,3,3,0,6,True,True,0.0,0.5,0.5,0.0,0.8933823529411765,0.4696013931888545,9.51364e-07,0.46960234455285454,SYNTHETIC,synthetic_engineer_v1,False,5,8,False,3
RFQ731-000004,G731ST-LT,CFG731_e03b41992c837b34,CFG731_de503c5e46490150,G731ST-LT,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,10,10,0,3,3,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,0.40195433436532507,7.02526e-07,0.40195503689132506,SYNTHETIC,synthetic_engineer_v1,False,6,8,False,2
RFQ731-000004,G731ST-LT,CFG731_de503c5e46490150,CFG731_de503c5e46490150,G731ST-LT,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,10,10,0,3,3,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,0.40195433436532507,4.18714e-07,0.40195475307932504,SYNTHETIC,synthetic_engineer_v1,True,7,8,False,1
RFQ731-000004,G731ST-LT,CFG731_22da0d6030817265,CFG731_de503c5e46490150,G731ST-LT,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,10,10,0,3,3,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,0.40195433436532507,3.68892e-07,0.4019547032573251,SYNTHETIC,synthetic_engineer_v1,False,8,8,False,0
RFQ731-000005,X731,CFG731_db395082b1a3b8ac,CFG731_db395082b1a3b8ac,x731,OBSERVED,REAL_OBSERVED,OBSERVED,7,0,0,100.0,10,10,0,4,4,0,5,True,True,1.0,1.0,1.0,1.0,1.0,0.9210526315789473,4.15769e-07,0.9210530473479474,SYNTHETIC,synthetic_engineer_v1,True,1,1,True,0
