rfq_id,target_package,preferred_configuration_id,rejected_configuration_id,preferred_rank,rejected_rank,preferred_score,rejected_score,score_margin,preferred_unmentioned_features,rejected_unmentioned_features,preferred_nearest_real_distance,rejected_nearest_real_distance,preferred_num_changed_characteristics,rejected_num_changed_characteristics,preferred_record_type,rejected_record_type,label,preference_label_provenance,preference_generation_method
RFQ731-000001,X731,CFG731_9a0f0b26c7f24725,CFG731_83f956404d04e6cd,1,2,0.849624571408376,0.849624530421376,4.098700001620159e-08,5,5,0,0,0,0,OBSERVED,OBSERVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_9a0f0b26c7f24725,CFG731_ec83ad3bde5df955,1,3,0.849624571408376,0.36370042502347677,0.4859241463848992,5,5,0,1,0,2,OBSERVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_9a0f0b26c7f24725,CFG731_399690ce112d8d2a,1,4,0.849624571408376,0.3637002262024768,0.4859243452058992,5,5,0,1,0,2,OBSERVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_9a0f0b26c7f24725,CFG731_142da525ddb90041,1,5,0.849624571408376,0.3637001250634768,0.4859244463448992,5,5,0,1,0,2,OBSERVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_9a0f0b26c7f24725,CFG731_813afad06fd4a0a8,1,6,0.849624571408376,0.3636999902964768,0.4859245811118992,5,5,0,1,0,2,OBSERVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_9a0f0b26c7f24725,CFG731_bb4f0886ba308d63,1,7,0.849624571408376,0.23833259809265325,0.6112919733157227,5,5,0,2,0,2,OBSERVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_83f956404d04e6cd,CFG731_ec83ad3bde5df955,2,3,0.849624530421376,0.36370042502347677,0.4859241053978992,5,5,0,1,0,2,OBSERVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_83f956404d04e6cd,CFG731_399690ce112d8d2a,2,4,0.849624530421376,0.3637002262024768,0.4859243042188992,5,5,0,1,0,2,OBSERVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_83f956404d04e6cd,CFG731_142da525ddb90041,2,5,0.849624530421376,0.3637001250634768,0.48592440535789916,5,5,0,1,0,2,OBSERVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_83f956404d04e6cd,CFG731_813afad06fd4a0a8,2,6,0.849624530421376,0.3636999902964768,0.48592454012489916,5,5,0,1,0,2,OBSERVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_83f956404d04e6cd,CFG731_bb4f0886ba308d63,2,7,0.849624530421376,0.23833259809265325,0.6112919323287227,5,5,0,2,0,2,OBSERVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_ec83ad3bde5df955,CFG731_399690ce112d8d2a,3,4,0.36370042502347677,0.3637002262024768,1.9882099999701808e-07,5,5,1,1,2,2,DERIVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_ec83ad3bde5df955,CFG731_142da525ddb90041,3,5,0.36370042502347677,0.3637001250634768,2.9995999994980593e-07,5,5,1,1,2,2,DERIVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_ec83ad3bde5df955,CFG731_813afad06fd4a0a8,3,6,0.36370042502347677,0.3636999902964768,4.3472699995383834e-07,5,5,1,1,2,2,DERIVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_ec83ad3bde5df955,CFG731_bb4f0886ba308d63,3,7,0.36370042502347677,0.23833259809265325,0.12536782693082352,5,5,1,2,2,2,DERIVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_399690ce112d8d2a,CFG731_142da525ddb90041,4,5,0.3637002262024768,0.3637001250634768,1.0113899995278786e-07,5,5,1,1,2,2,DERIVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_399690ce112d8d2a,CFG731_813afad06fd4a0a8,4,6,0.3637002262024768,0.3636999902964768,2.3590599995682027e-07,5,5,1,1,2,2,DERIVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_399690ce112d8d2a,CFG731_bb4f0886ba308d63,4,7,0.3637002262024768,0.23833259809265325,0.12536762810982352,5,5,1,2,2,2,DERIVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_142da525ddb90041,CFG731_813afad06fd4a0a8,5,6,0.3637001250634768,0.3636999902964768,1.347670000040324e-07,5,5,1,1,2,2,DERIVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_142da525ddb90041,CFG731_bb4f0886ba308d63,5,7,0.3637001250634768,0.23833259809265325,0.12536752697082357,5,5,1,2,2,2,DERIVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000001,X731,CFG731_813afad06fd4a0a8,CFG731_bb4f0886ba308d63,6,7,0.3636999902964768,0.23833259809265325,0.12536739220382356,5,5,1,2,2,2,DERIVED,DERIVED,1,SYNTHETIC,synthetic_engineer_v1
RFQ731-000003,X731,CFG731_abcee67081353f16,CFG731_b54844b4c5cc208b,1,2,0.9052637144687369,0.8624063882275941,0.0428573262411428,6,6,0,0,0,0,OBSERVED,OBSERVED,1,SYNTHETIC,synthetic_engineer_v1
