rfq_id,target_package,candidate_count,synthetic_engineer_choice,synthetic_engineer_top_score,ground_truth_configuration_id,ground_truth_engineer_rank,ground_truth_engineer_score,ground_truth_selected_by_engineer,preference_label_provenance,preference_generation_method
RFQ731-000001,X731,7,CFG731_9a0f0b26c7f24725,0.849624571408376,CFG731_bb4f0886ba308d63,7,0.23833259809265325,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000002,X731,1,CFG731_83f956404d04e6cd,0.8969926271550076,CFG731_83f956404d04e6cd,1,0.8969926271550076,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000003,X731,7,CFG731_abcee67081353f16,0.9052637144687369,CFG731_bd00839e452c6958,7,0.2210725466641486,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000004,G731ST-LT,8,CFG731_996314000fcfec4b,0.9052640538507368,CFG731_de503c5e46490150,7,0.40195475307932504,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000005,X731,1,CFG731_db395082b1a3b8ac,0.9210530473479474,CFG731_db395082b1a3b8ac,1,0.9210530473479474,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000006,X731,8,CFG731_3b2a32abbf148ca1,0.9210527387899473,CFG731_541ce2492ce71d94,3,0.4850237431562415,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000007,X731,8,CFG731_c887ba58c35036a9,0.9052639929097369,CFG731_134ecd7b8190bed1,8,0.4019544807923251,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000008,G731ST-HT,4,CFG731_329b582435fea539,0.849624730917376,CFG731_b5710e5f11e2cbc2,3,0.4146190307325356,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000009,G731ST-HT,2,CFG731_a56f1437a0b4ca31,0.8654144011645866,CFG731_646d8903da63e1f0,2,0.8654139554245865,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000010,G731ST-LT,8,CFG731_a40ab19ad6671fbe,0.9052638397687369,CFG731_9e44a82e6c1db982,7,0.4019550063513251,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000011,G731ST-HT,4,CFG731_8b18ac1c34209d63,0.9210533495099473,CFG731_cd71ec2726e971ef,2,0.849625041130376,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000012,X731,1,CFG731_6e27958dc8215006,0.3897646212185449,CFG731_6e27958dc8215006,1,0.3897646212185449,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000013,X731,3,CFG731_e80085d86d0bbfa9,0.8654140744335865,CFG731_6526112621a9ee97,3,0.3802253732133344,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000014,X731,4,CFG731_5dd42015f6f61801,0.9368422142031579,CFG731_5c624ef6fa2b6510,3,0.5011804151732756,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000015,X731,2,CFG731_97796c9ac2811c94,0.8654144601885865,CFG731_5d255cf6dd296018,2,0.8511283636578721,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000016,X731,5,CFG731_c39096767a7ae083,0.9210534033169473,CFG731_ef02695e374fc418,2,0.4850234348582415,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000017,F731WD_DUALCHANNEL,2,CFG731_819cb4e76943eca6,0.8037600380082406,CFG731_c37386a371e13fa8,2,0.45546700208734986,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000018,F731TE,2,CFG731_fd6959ad3c5fd9ed,0.7879707320140301,CFG731_fd6959ad3c5fd9ed,1,0.7879707320140301,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000019,X731,7,CFG731_935bc110c01e9e85,0.8338352319041655,CFG731_6ba028da3bba9c41,7,0.21702884169608977,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000020,X731,2,CFG731_8d2d91c46ccfb471,0.9368429988041579,CFG731_48772fd385d8dcd5,2,0.2541224086918638,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000021,G731ST-HT,2,CFG731_5dd35c89836ec88e,0.8654143205605865,CFG731_5dd35c89836ec88e,1,0.8654143205605865,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000022,G731ST-LT,1,CFG731_a40ab19ad6671fbe,0.9526316332633684,CFG731_a40ab19ad6671fbe,1,0.9526316332633684,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000023,X731,6,CFG731_8d2d91c46ccfb471,0.9210532705499473,CFG731_9ccdadb28a07accd,2,0.48318555129312385,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000024,G731ST-LT,2,CFG731_1d89d7fdc7355744,0.8654143324515865,CFG731_1d89d7fdc7355744,1,0.8654143324515865,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000025,G731ST-HT,4,CFG731_63eca10a00ae1f5d,0.9210531240619474,CFG731_a4416ae9d698efa6,3,0.485390879589065,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000026,X731,4,CFG731_8f470181ad32eeae,0.8654142156595865,CFG731_1b365e0951e7dea4,3,0.4304089357917461,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000027,X731,1,CFG731_59f86789e43d86f1,0.5147642735005449,CFG731_59f86789e43d86f1,1,0.5147642735005449,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000028,G731ST-HT,1,CFG731_8b18ac1c34209d63,0.9526324762613684,CFG731_8b18ac1c34209d63,1,0.9526324762613684,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000029,X731,2,CFG731_8d2d91c46ccfb471,0.9526322192143684,CFG731_ff3460f478ef969b,2,0.44932351364995665,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000030,G731ST-HT,6,CFG731_cc9ac35e4d9a1854,0.9210534469569474,CFG731_c759934398f2381a,5,0.48447179308900623,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000031,X731,4,CFG731_5f9d5671c315ce06,0.48318594694712386,CFG731_b7fc2f4bee7659de,2,0.35487654363471205,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000032,X731,10,CFG731_219ac3d01befd6d1,0.9052635661807369,CFG731_dc2dca106a6c63c6,9,0.21702846527808978,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000033,G731CA,1,CFG731_faff6da73df00950,0.4870455992837709,CFG731_faff6da73df00950,1,0.4870455992837709,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000034,G731CA,2,CFG731_5bfe9492c76587ec,0.4554664662773499,CFG731_9cc92f888af32c8a,2,0.4462756151087616,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000035,G731ST-LT,10,CFG731_e0009be417f51ccd,0.9052640371177368,CFG731_77fac91021549398,5,0.4686824550517957,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000036,G731ST-HT,6,CFG731_84b16be5aab3bf9b,0.849624576267376,CFG731_b46f92852addf866,5,0.3605756544634767,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000037,X731,1,CFG731_1b5b895b5e259903,0.9210526425579474,CFG731_1b5b895b5e259903,1,0.9210526425579474,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000038,X731,2,CFG731_1af3f9470bd904d5,0.38976422411454487,CFG731_04d60387371e1885,2,0.38976401891254486,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000039,F731WD_DUALCHANNEL,1,CFG731_a4610f5f38e7d946,0.8338355256091655,CFG731_a4610f5f38e7d946,1,0.8338355256091655,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000040,X731,1,CFG731_f7f0034a8b15f329,0.849624839112376,CFG731_f7f0034a8b15f329,1,0.849624839112376,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000041,G731ST-HT,6,CFG731_a56f1437a0b4ca31,0.8496248005463759,CFG731_d71a39e1fcf17083,5,0.3620457192697709,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000042,X731,6,CFG731_91e51485b56960b2,0.9210535518199473,CFG731_8e5ce09a779d2284,5,0.41774457188453556,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000043,X731,12,CFG731_516629085c122a4e,0.9052635371477369,CFG731_78ea99817ca8be6a,11,0.21868278243979564,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000044,X731,4,CFG731_219ac3d01befd6d1,0.9210526858389474,CFG731_c52f7eb3e0603707,4,0.23686222357835915,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000045,F731WD_SINGLECHANNEL,1,CFG731_70b6eaf9262ca4d0,0.8195491739454511,CFG731_70b6eaf9262ca4d0,1,0.8195491739454511,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000046,X731,8,CFG731_da02526d254e2e35,0.9052638729787369,CFG731_5e0166a160f3ed77,8,0.2225431120184427,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000047,X731,3,CFG731_3b2a32abbf148ca1,0.9368423520081579,CFG731_8e97bb2bec352a2c,2,0.8511284652888722,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000048,G731ST-LT,2,CFG731_e0009be417f51ccd,0.9368427795021579,CFG731_8b6ed3cfa9ed1e59,2,0.4335341817157461,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000049,X731,8,CFG731_516629085c122a4e,0.9052638438427368,CFG731_700e5b0584a9b0fc,8,0.40195458579232507,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000050,F731WD_DUALCHANNEL,2,CFG731_819cb4e76943eca6,0.7879707893740301,CFG731_37e3938c6089bb2d,2,0.7879701682730301,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000051,F731TE,2,CFG731_0c3b33750ffab3ac,0.7879707599630301,CFG731_0c3b33750ffab3ac,1,0.7879707599630301,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000052,X731,2,CFG731_0db950a4979d2c52,0.9526324721923684,CFG731_fa6b5a7df55858c0,2,0.44932299077395665,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000053,X731,2,CFG731_1cbb464ec15ba84f,0.3769161479909226,CFG731_1cbb464ec15ba84f,1,0.3769161479909226,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000054,G731CA,2,CFG731_acbf4c45af55caad,0.8037597151422405,CFG731_e85a7fcdd0521e90,2,0.45546676455434987,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000055,F731TE,1,CFG731_07fb816f7dc25bc8,0.8338350060161654,CFG731_07fb816f7dc25bc8,1,0.8338350060161654,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000056,G731ST-LT,2,CFG731_715a3d3226cbaffd,0.9368422303201579,CFG731_d5af433b36265df1,2,0.8939852050540151,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000057,X731,4,CFG731_b7e96d5717c40fd6,0.936842280730158,CFG731_d61788aab0d61e0f,3,0.3684604850959814,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000058,F731WD_SINGLECHANNEL,2,CFG731_70b6eaf9262ca4d0,0.7879706359420301,CFG731_400b0d973c930668,2,0.78797031416503,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000059,G731VG,1,CFG731_6a47b38d62a9fed3,0.8511286067898722,CFG731_6a47b38d62a9fed3,1,0.8511286067898722,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000060,X731,3,CFG731_3bcde7f8df32303c,0.8654138934845865,CFG731_4e7f75dd9496e7b1,3,0.5028347725089813,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000061,X731,2,CFG731_8c50542218db5cb0,0.9368422230371579,CFG731_15f034f7c265528f,2,0.43353396491574614,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000062,F731TE,1,CFG731_090330aa38b8e80b,0.3346755635266192,CFG731_090330aa38b8e80b,1,0.3346755635266192,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000063,X731,1,CFG731_79377060f99f59f3,0.3897640328585449,CFG731_79377060f99f59f3,1,0.3897640328585449,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000064,F731PW,1,CFG731_327bfa077bbbd45e,0.3830399868281146,CFG731_327bfa077bbbd45e,1,0.3830399868281146,True,SYNTHETIC,synthetic_engineer_v1
RFQ731-000065,X731,10,CFG731_c39096767a7ae083,0.9210531096009473,CFG731_f57ccd8e79618aa1,4,0.4844725141740062,False,SYNTHETIC,synthetic_engineer_v1
RFQ731-000066,F731TE,1,CFG731_a72f99e8160efda6,0.4712562146235604,CFG731_a72f99e8160efda6,1,0.4712562146235604,True,SYNTHETIC,synthetic_engineer_v1
