rfq_id,customer_id,canonical_configuration_id,target_package,record_type,evidence_level,nearest_real_distance,source_canonical_configuration_id,ground_truth_hidden_from_customer
RFQ731-000001,CUST73100177,CFG731_bb4f0886ba308d63,x731,DERIVED,MODERATE,2,CFG731_9a0f0b26c7f24725,True
RFQ731-000002,CUST73100174,CFG731_83f956404d04e6cd,x731,OBSERVED,OBSERVED,0,CFG731_83f956404d04e6cd,True
RFQ731-000003,CUST73100086,CFG731_bd00839e452c6958,x731,DERIVED,LOW,2,CFG731_b54844b4c5cc208b,True
RFQ731-000004,CUST73100208,CFG731_de503c5e46490150,G731ST-LT,DERIVED,VERY_STRONG,1,CFG731_455da2f832a6b66d,True
RFQ731-000005,CUST73100179,CFG731_db395082b1a3b8ac,x731,OBSERVED,OBSERVED,0,CFG731_db395082b1a3b8ac,True
RFQ731-000006,CUST73100039,CFG731_541ce2492ce71d94,x731,DERIVED,VERY_STRONG,1,CFG731_98bdc6937e342d40,True
RFQ731-000007,CUST73100090,CFG731_134ecd7b8190bed1,x731,DERIVED,VERY_STRONG,1,CFG731_de67d4c164ed05bc,True
RFQ731-000008,CUST73100211,CFG731_b5710e5f11e2cbc2,G731ST-HT,DERIVED,VERY_STRONG,1,CFG731_288e4c99b4e02895,True
RFQ731-000009,CUST73100087,CFG731_646d8903da63e1f0,G731ST-HT,OBSERVED,OBSERVED,0,CFG731_646d8903da63e1f0,True
RFQ731-000010,CUST73100108,CFG731_9e44a82e6c1db982,G731ST-LT,DERIVED,VERY_STRONG,1,CFG731_098817d766a37bc2,True
RFQ731-000011,CUST73100210,CFG731_cd71ec2726e971ef,G731ST-HT,OBSERVED,OBSERVED,0,CFG731_cd71ec2726e971ef,True
RFQ731-000012,CUST73100231,CFG731_6e27958dc8215006,x731,DERIVED,MODERATE,1,CFG731_da02526d254e2e35,True
RFQ731-000013,CUST73100117,CFG731_6526112621a9ee97,x731,DERIVED,MODERATE,1,CFG731_e80085d86d0bbfa9,True
RFQ731-000014,CUST73100029,CFG731_5c624ef6fa2b6510,x731,DERIVED,VERY_STRONG,1,CFG731_775c3458f44938c0,True
RFQ731-000015,CUST73100204,CFG731_5d255cf6dd296018,x731,OBSERVED,OBSERVED,0,CFG731_5d255cf6dd296018,True
RFQ731-000016,CUST73100038,CFG731_ef02695e374fc418,x731,DERIVED,VERY_STRONG,1,CFG731_afd2371086bf1e03,True
RFQ731-000017,CUST73100094,CFG731_c37386a371e13fa8,F731WD_DualChannel,DERIVED,VERY_STRONG,1,CFG731_d2034bb5aa313dac,True
RFQ731-000018,CUST73100230,CFG731_fd6959ad3c5fd9ed,F731TE,OBSERVED,OBSERVED,0,CFG731_fd6959ad3c5fd9ed,True
RFQ731-000019,CUST73100127,CFG731_6ba028da3bba9c41,x731,DERIVED,LOW,2,CFG731_935bc110c01e9e85,True
RFQ731-000020,CUST73100087,CFG731_48772fd385d8dcd5,x731,DERIVED,MODERATE,2,CFG731_8d2d91c46ccfb471,True
RFQ731-000021,CUST73100168,CFG731_5dd35c89836ec88e,G731ST-HT,OBSERVED,OBSERVED,0,CFG731_5dd35c89836ec88e,True
RFQ731-000022,CUST73100107,CFG731_a40ab19ad6671fbe,G731ST-LT,OBSERVED,OBSERVED,0,CFG731_a40ab19ad6671fbe,True
RFQ731-000023,CUST73100043,CFG731_9ccdadb28a07accd,x731,DERIVED,VERY_STRONG,1,CFG731_14299a2a74e42d7f,True
RFQ731-000024,CUST73100160,CFG731_1d89d7fdc7355744,G731ST-LT,OBSERVED,OBSERVED,0,CFG731_1d89d7fdc7355744,True
RFQ731-000025,CUST73100130,CFG731_a4416ae9d698efa6,G731ST-HT,DERIVED,VERY_STRONG,1,CFG731_a288340143e53b7f,True
RFQ731-000026,CUST73100053,CFG731_1b365e0951e7dea4,x731,DERIVED,VERY_STRONG,1,CFG731_e24b476e4eb9ee5d,True
RFQ731-000027,CUST73100139,CFG731_59f86789e43d86f1,x731,DERIVED,VERY_STRONG,1,CFG731_9f9a8730b26472c2,True
RFQ731-000028,CUST73100018,CFG731_8b18ac1c34209d63,G731ST-HT,OBSERVED,OBSERVED,0,CFG731_8b18ac1c34209d63,True
RFQ731-000029,CUST73100232,CFG731_ff3460f478ef969b,x731,DERIVED,VERY_STRONG,1,CFG731_181ea7d5a9c21b8c,True
RFQ731-000030,CUST73100058,CFG731_c759934398f2381a,G731ST-HT,DERIVED,VERY_STRONG,1,CFG731_a288340143e53b7f,True
RFQ731-000031,CUST73100249,CFG731_b7fc2f4bee7659de,x731,DERIVED,MODERATE,1,CFG731_c7c53fc5541f1dc1,True
RFQ731-000032,CUST73100145,CFG731_dc2dca106a6c63c6,x731,DERIVED,LOW,2,CFG731_f1614000023c2800,True
RFQ731-000033,CUST73100205,CFG731_faff6da73df00950,G731CA,DERIVED,VERY_STRONG,1,CFG731_b97ce0f180acf155,True
RFQ731-000034,CUST73100085,CFG731_9cc92f888af32c8a,G731CA,DERIVED,VERY_STRONG,1,CFG731_d3d0547b464f691d,True
RFQ731-000035,CUST73100004,CFG731_77fac91021549398,G731ST-LT,DERIVED,VERY_STRONG,1,CFG731_a2a709ad804cc5a2,True
RFQ731-000036,CUST73100179,CFG731_b46f92852addf866,G731ST-HT,DERIVED,MODERATE,1,CFG731_a288340143e53b7f,True
RFQ731-000037,CUST73100140,CFG731_1b5b895b5e259903,x731,OBSERVED,OBSERVED,0,CFG731_1b5b895b5e259903,True
RFQ731-000038,CUST73100131,CFG731_04d60387371e1885,x731,DERIVED,MODERATE,1,CFG731_7f60255816247683,True
RFQ731-000039,CUST73100018,CFG731_a4610f5f38e7d946,F731WD_DualChannel,OBSERVED,OBSERVED,0,CFG731_a4610f5f38e7d946,True
RFQ731-000040,CUST73100197,CFG731_f7f0034a8b15f329,x731,OBSERVED,OBSERVED,0,CFG731_f7f0034a8b15f329,True
RFQ731-000041,CUST73100105,CFG731_d71a39e1fcf17083,G731ST-HT,DERIVED,MODERATE,1,CFG731_c3a136a8630f644d,True
RFQ731-000042,CUST73100101,CFG731_8e5ce09a779d2284,x731,DERIVED,VERY_STRONG,1,CFG731_9d03b3ff10a7b30e,True
RFQ731-000043,CUST73100054,CFG731_78ea99817ca8be6a,x731,DERIVED,LOW,2,CFG731_f1614000023c2800,True
RFQ731-000044,CUST73100115,CFG731_c52f7eb3e0603707,x731,DERIVED,LOW,2,CFG731_219ac3d01befd6d1,True
