rfq_id,customer_id,customer_name,customer_reference,project_reference,rfq_date,requested_delivery_date,quantity,currency,payment_terms,delivery_terms,customer_country,industry,primary_application,customer_type,target_configuration_id,target_package,target_generation_method,target_evidence_level,source_type,synthetic_version
RFQ731-000001,CUST73100216,Vertex Measurement Technologies AG,REQ-465192,Measurement System Upgrade,2026-07-30,2026-11-23,2,EUR,within 60 days net,FCA,Germany,Water & Wastewater,Utility water measurement,End User,CFG731_0db950a4979d2c52,x731,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000002,CUST73100002,Nova Industrial Services S.A.,PROJECT-319007,Process Automation Project,2026-04-25,2026-09-02,5,EUR,within 45 days net,FCA,France,Pharmaceutical,Batch process measurement,End User,CFG731_56ccaebbaa08bd29,F731TE,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000003,CUST73100028,Industrial Energy Systems Ltd.,ENQ-460815,Process Automation Project,2026-03-06,2026-06-24,10,EUR,within 60 days net,DDP,Italy,Pharmaceutical,Batch process measurement,EPC Contractor,CFG731_c0eb036469c0bf44,G731ST-HT,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000004,CUST73100071,Prime Process Engineering Ltd.,REQ-118267,Plant Instrumentation,2026-07-18,2026-11-15,1,EUR,within 60 days net,DAP,Netherlands,Power & Utilities,Steam measurement,End User,CFG731_e1516ef53069d5e2,G731ST-LT,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000005,CUST73100031,Vector Engineering Solutions AG,PROJECT-493122,Process Measurement Upgrade,2026-07-28,2026-09-10,1,GBP,within 60 days net,CPT,United Kingdom,Water & Wastewater,Utility water measurement,End User,CFG731_da02526d254e2e35,x731,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000006,CUST73100154,United Instrumentation Ltd.,ENQ-104832,Plant Instrumentation,2026-02-26,2026-04-02,3,EUR,within 60 days net,CPT,Germany,Engineering & EPC,Turnkey process project,End User,CFG731_089eb10797cdf87e,x731,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000007,CUST73100148,Metrix Energy Systems AG,PROJECT-428311,Process Measurement Upgrade,2026-06-10,2026-10-19,3,EUR,within 30 days net,FCA,Netherlands,Mining & Metals,Mineral processing,End User,CFG731_2c30adc3f721a104,G731ST-LT,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000008,CUST73100209,Atlas Process Engineering B.V.,ENQ-263790,Plant Instrumentation,2026-01-06,2026-04-26,2,EUR,within 30 days net,DDP,France,Chemical,Plant utilities,System Integrator,CFG731_0be7d6198235486b,F731WD_SingleChannel,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000009,CUST73100032,Evergreen Energy Systems B.V.,REQ-888373,Process Expansion Project,2026-06-30,2026-10-20,10,EUR,within 30 days net,DAP,Spain,Chemical,Liquid flow measurement,EPC Contractor,CFG731_6a47b38d62a9fed3,G731VG,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000010,CUST73100010,Meridian Engineering Solutions FZE,PROJECT-928504,Process Automation Project,2026-06-04,2026-08-06,1,USD,within 90 days net,EXW,United Arab Emirates,Water & Wastewater,Water treatment,EPC Contractor,CFG731_7b9680fed3d10056,x731,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000011,CUST73100053,Vertex Instrumentation FZE,PROJECT-562232,Process Measurement Upgrade,2026-05-11,2026-10-06,2,USD,within 30 days net,EXW,Saudi Arabia,Water & Wastewater,Utility water measurement,End User,CFG731_0be7d6198235486b,F731WD_SingleChannel,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000012,CUST73100042,Sterling Process Engineering GmbH,RFQ-125888,Flow Measurement Replacement,2026-05-15,2026-11-10,2,EUR,within 45 days net,CPT,Netherlands,Chemical,Chemical process monitoring,End User,CFG731_5e57a3f6d3b745b8,x731,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000013,CUST73100011,Orion Industrial Technologies GmbH,REQ-646628,Flow Metering Requirement,2026-06-24,2026-12-05,3,EUR,within 60 days net,CPT,Netherlands,Oil & Gas,Process monitoring,System Integrator,CFG731_932b427eaa87c8fa,x731,TWO_CHARACTERISTIC,LOW,SYNTHETIC,731_RFQ_V1
RFQ731-000014,CUST73100203,United Industrial Services GmbH,REQ-306380,Measurement System Upgrade,2026-02-14,2026-07-30,1,EUR,within 30 days net,EXW,Germany,Oil & Gas,Gas measurement,End User,CFG731_cc0572630b0848e7,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000015,CUST73100163,Continental Energy Systems AG,ENQ-527338,Flow Metering Requirement,2026-01-24,2026-02-28,1,EUR,advance payment,DDP,Türkiye,Water & Wastewater,Wastewater monitoring,End User,CFG731_a40ab19ad6671fbe,G731ST-LT,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000016,CUST73100097,Vector Automation Systems Ltd.,INST-167290,Measurement System Upgrade,2026-02-26,2026-06-25,4,EUR,within 60 days net,EXW,France,Pharmaceutical,Process validation,End User,CFG731_2b5aa7df11e558a1,x731,TWO_CHARACTERISTIC,LOW,SYNTHETIC,731_RFQ_V1
RFQ731-000017,CUST73100016,Quantum Automation Systems FZE,PROJECT-421223,Flow Measurement Replacement,2026-04-03,2026-06-09,4,EUR,within 30 days net,CPT,Türkiye,Mining & Metals,Mineral processing,End User,CFG731_9c21848fed1f6e04,x731,TWO_CHARACTERISTIC,LOW,SYNTHETIC,731_RFQ_V1
RFQ731-000018,CUST73100244,Industrial Instrumentation B.V.,REQ-220056,Measurement System Upgrade,2026-03-03,2026-06-17,3,USD,within 30 days net,CPT,Saudi Arabia,Power & Utilities,Cooling water measurement,End User,CFG731_5858277a5a994569,x731,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000019,CUST73100073,Pioneer Manufacturing Technologies B.V.,REQ-972339,New Production Line Project,2026-07-26,2026-10-02,2,EUR,within 30 days net,DDP,Netherlands,Chemical,Liquid flow measurement,EPC Contractor,CFG731_7c358bf1aa4ea94e,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000020,CUST73100125,Delta Instrumentation Ltd.,RFQ-868126,Process Automation Project,2026-02-06,2026-07-20,1,EUR,within 30 days net,DDP,France,Power & Utilities,Steam measurement,Engineering Company,CFG731_c108b657efc147c3,x731,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
RFQ731-000021,CUST73100086,Precision Process Systems GmbH,RFQ-934266,Plant Instrumentation,2026-01-06,2026-03-21,4,EUR,within 90 days net,CPT,Türkiye,Manufacturing,Industrial automation,End User,CFG731_ef02695e374fc418,x731,ONE_CHARACTERISTIC,VERY_STRONG,SYNTHETIC,731_RFQ_V1
RFQ731-000022,CUST73100096,Global Industrial Technologies B.V.,INST-314806,Flow Metering Requirement,2026-01-07,2026-05-01,4,EUR,within 30 days net,FCA,Spain,Water & Wastewater,Raw water measurement,System Integrator,CFG731_54559f782190a122,F731TE,REAL_OBSERVED,OBSERVED,SYNTHETIC,731_RFQ_V1
RFQ731-000023,CUST73100247,Summit Engineering Solutions AG,PROJECT-317973,Flow Measurement Replacement,2026-01-31,2026-07-26,1,EUR,within 60 days net,FCA,Italy,Food & Beverage,Utility monitoring,End User,CFG731_fe424f85d85e1c0c,x731,TWO_CHARACTERISTIC,MODERATE,SYNTHETIC,731_RFQ_V1
