rfq_id,customer_id,customer_name,customer_type,industry,country,currency,payment_terms,delivery_terms,project_name,application,rfq_status,generation_version
RFQ731-000001,CUST73100177,Integrated Petrochemical Solutions S.A.,End User,Engineering & EPC,India,EUR,within 60 days net,EXW,Process Expansion Project,measurement system implementation,OPEN,V2
RFQ731-000002,CUST73100174,Nova Instrumentation AG,End User,Chemical,Germany,EUR,advance payment,DAP,Utility Measurement Upgrade,process flow measurement,OPEN,V2
RFQ731-000003,CUST73100086,Precision Process Systems GmbH,End User,Manufacturing,Türkiye,EUR,within 90 days net,CPT,Measurement Infrastructure Upgrade,production line monitoring,OPEN,V2
RFQ731-000004,CUST73100208,United Process Automation AG,End User,Research & Development,Türkiye,EUR,within 30 days net,DAP,New Production Line,laboratory process system,OPEN,V2
RFQ731-000005,CUST73100179,Dynamic Industrial Technologies S.A.,End User,Power & Utilities,Saudi Arabia,USD,within 45 days net,EXW,Utility Measurement Upgrade,utility measurement,OPEN,V2
RFQ731-000006,CUST73100039,Meridian Instrumentation AG,EPC Contractor,Water & Wastewater,Türkiye,EUR,within 60 days net,CPT,Measurement System Upgrade,water distribution,OPEN,V2
RFQ731-000007,CUST73100090,Dynamic Measurement Technologies B.V.,End User,Mining & Metals,United Arab Emirates,USD,within 60 days net,DAP,New Production Line,mineral processing,OPEN,V2
RFQ731-000008,CUST73100211,Delta Automation Systems Ltd.,System Integrator,Mining & Metals,Italy,EUR,within 30 days net,CPT,Plant Modernisation Project,production measurement,OPEN,V2
RFQ731-000009,CUST73100087,Nova Process Systems B.V.,System Integrator,Pharmaceutical,United Arab Emirates,USD,within 30 days net,CPT,New Plant Installation,production process monitoring,OPEN,V2
RFQ731-000010,CUST73100108,Global Process Automation Ltd.,End User,Water & Wastewater,France,EUR,within 90 days net,DDP,Process Automation Project,utility water measurement,OPEN,V2
RFQ731-000011,CUST73100210,Continental Engineering Solutions B.V.,End User,Chemical,Spain,EUR,within 45 days net,CPT,Plant Modernisation Project,plant utility measurement,OPEN,V2
RFQ731-000012,CUST73100231,Advanced Industrial Technologies B.V.,End User,Pharmaceutical,France,EUR,within 30 days net,EXW,Process Automation Project,clean utility measurement,OPEN,V2
RFQ731-000013,CUST73100117,Apex Process Automation FZE,End User,Pharmaceutical,France,EUR,within 60 days net,EXW,Process Expansion Project,clean utility measurement,OPEN,V2
