rfq_id,requirement_id,requirement_sequence,characteristic,required_value,requirement_description,requirement_type,ground_truth,source
RFQ731-000001,RFQ731-000001-REQ-001,1,devCategory,G,gas measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-002,2,characteristic,GP,general-purpose configuration,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-003,3,housing,ST,stainless-steel housing,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-004,4,powerSupply,4,alternative power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-005,5,numberOfChannels,1,number of measurement channels 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-006,6,explosionApproval,A,explosion protection A,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-007,7,protectionArea,2,protection area 2,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-008,8,certification,MN,certification MN,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-009,9,dataInterface,NN,data interface NN,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-010,10,stromSchaltbar,CS1,switchable current output CS1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-011,11,stromEingaenge,IS1,current input IS1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-012,12,temperaturEingaenge,TT1,temperature input TT1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-013,13,binaerDigitalOpenColl_MN,MN1,digital open-collector input MN1,PREFERRED,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-014,14,waveInjector,FWI,WaveInjector cryogenic option,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-015,15,dev_advMeterVerification,1,Advanced Meter Verification 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-016,16,dynamicGasMaster,1,Dynamic Gas Master 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000001,RFQ731-000001-REQ-017,17,customUserFluid,1,custom user fluid 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000002,RFQ731-000002-REQ-001,1,devCategory,F,flow measurement,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000002,RFQ731-000002-REQ-002,2,characteristic,TE,temperature measurement application,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000002,RFQ731-000002-REQ-003,3,housing,ST,stainless-steel housing,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000002,RFQ731-000002-REQ-004,4,powerSupply,1,standard power supply,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
RFQ731-000002,RFQ731-000002-REQ-005,5,numberOfChannels,1,number of measurement channels 1,MANDATORY,True,SYNTHETIC_CONFIGURATION_GROUND_TRUTH
