node_id,node_type,label,provenance,source,source_type,field_name,source_row,characteristic,value,package_context,canonical_configuration_id,record_type,generation_method
PRODUCT_731,Product,731,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,,,,,,,,
CHAR_5d9f8e2c04366b2e,Characteristic,OrgUnitAreaOfDocument,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,OrgUnitAreaOfDocument,,,,,,,
CHAR_b28ac3180e553cdc,Characteristic,marke,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,marke,,,,,,,
CHAR_db666c1930b176b3,Characteristic,packageFixed_dev,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,packageFixed_dev,,,,,,,
CHAR_69bf39fdd46ac055,Characteristic,installationsart,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,installationsart,,,,,,,
CHAR_c8e821d556640fb6,Characteristic,devCategory,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,devCategory,,,,,,,
CHAR_1303c06b0b014d0c,Characteristic,type,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,type,,,,,,,
CHAR_bd70eb35e7aa71d7,Characteristic,characteristic,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,characteristic,,,,,,,
CHAR_d005d6c459a8a9f4,Characteristic,housing,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,housing,,,,,,,
CHAR_e4cb0e4dd68ac771,Characteristic,powerSupply,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,powerSupply,,,,,,,
CHAR_5fd9ac5fadf173ba,Characteristic,numberOfChannels,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,numberOfChannels,,,,,,,
CHAR_263cc0d5c59b9181,Characteristic,explosionApproval,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,explosionApproval,,,,,,,
CHAR_c935032ed38f486c,Characteristic,protectionArea,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,protectionArea,,,,,,,
CHAR_a41260c5e0184eb5,Characteristic,intrinsicSafety,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,intrinsicSafety,,,,,,,
CHAR_b00a6c108553e242,Characteristic,certification,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,certification,,,,,,,
CHAR_2743acf9f9f31d85,Characteristic,dataInterface,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,dataInterface,,,,,,,
CHAR_e6b825a8f00631c9,Characteristic,stromSchaltbar,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,stromSchaltbar,,,,,,,
CHAR_ea20af37a43b49c2,Characteristic,stromEingaenge,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,stromEingaenge,,,,,,,
CHAR_1c2479fe5d4ca3d1,Characteristic,temperaturEingaenge,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,temperaturEingaenge,,,,,,,
CHAR_1b5c416bdf600de3,Characteristic,steamApplication,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,steamApplication,,,,,,,
CHAR_f7177e64d56e3ad7,Characteristic,waveInjector,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,waveInjector,,,,,,,
CHAR_765948744ee85ab2,Characteristic,tagPlate,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,tagPlate,,,,,,,
CHAR_1beded9c4b2bca21,Characteristic,inclusiveManual,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,inclusiveManual,,,,,,,
CHAR_ead020de570cb29d,Characteristic,powerCable,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,powerCable,,,,,,,
CHAR_d043830d01d04691,Characteristic,carryingCase,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,carryingCase,,,,,,,
CHAR_26cb247bb6ef82ba,Characteristic,measuringTape,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,measuringTape,,,,,,,
CHAR_1c3d2204797e2794,Characteristic,dev_advMeterVerification,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,dev_advMeterVerification,,,,,,,
CHAR_caf36d64dfa3538d,Characteristic,dynamicGasMaster,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,dynamicGasMaster,,,,,,,
CHAR_707b2674c83fa741,Characteristic,customUserFluid,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,customUserFluid,,,,,,,
RULE_e201f0f8a3908b89,RuleRow,731 rule row 1,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,,1.0,,,,,,
VAL_e960a3e12805b44f,CharacteristicValue,"in {0, 1, 2, 3}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,,,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",,,,
VAL_3c1402392fdf9063,CharacteristicValue,'flexim',OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,,,marke,'flexim',,,,
VAL_72d9bd3f30e49bd0,CharacteristicValue,"in {NOVALUE, 'x731'}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,,,packageFixed_dev,"in {NOVALUE, 'x731'}",,,,
