node_id,node_type,label,provenance,source,source_type,field_name,source_row,characteristic,value,package_context,canonical_configuration_id,record_type,generation_method
PRODUCT_731,Product,731,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,,,,,,,,
CHAR_5d9f8e2c04366b2e,Characteristic,OrgUnitAreaOfDocument,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,OrgUnitAreaOfDocument,,,,,,,
CHAR_b28ac3180e553cdc,Characteristic,marke,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,marke,,,,,,,
CHAR_db666c1930b176b3,Characteristic,packageFixed_dev,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,packageFixed_dev,,,,,,,
CHAR_69bf39fdd46ac055,Characteristic,installationsart,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,installationsart,,,,,,,
CHAR_c8e821d556640fb6,Characteristic,devCategory,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,devCategory,,,,,,,
CHAR_1303c06b0b014d0c,Characteristic,type,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,type,,,,,,,
CHAR_bd70eb35e7aa71d7,Characteristic,characteristic,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,characteristic,,,,,,,
CHAR_d005d6c459a8a9f4,Characteristic,housing,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,housing,,,,,,,
CHAR_e4cb0e4dd68ac771,Characteristic,powerSupply,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,powerSupply,,,,,,,
CHAR_5fd9ac5fadf173ba,Characteristic,numberOfChannels,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,numberOfChannels,,,,,,,
CHAR_263cc0d5c59b9181,Characteristic,explosionApproval,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,explosionApproval,,,,,,,
CHAR_c935032ed38f486c,Characteristic,protectionArea,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,protectionArea,,,,,,,
CHAR_a41260c5e0184eb5,Characteristic,intrinsicSafety,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,intrinsicSafety,,,,,,,
CHAR_b00a6c108553e242,Characteristic,certification,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,certification,,,,,,,
CHAR_2743acf9f9f31d85,Characteristic,dataInterface,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,dataInterface,,,,,,,
CHAR_e6b825a8f00631c9,Characteristic,stromSchaltbar,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,stromSchaltbar,,,,,,,
CHAR_ea20af37a43b49c2,Characteristic,stromEingaenge,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,stromEingaenge,,,,,,,
CHAR_1c2479fe5d4ca3d1,Characteristic,temperaturEingaenge,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,temperaturEingaenge,,,,,,,
CHAR_1b5c416bdf600de3,Characteristic,steamApplication,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,steamApplication,,,,,,,
CHAR_f7177e64d56e3ad7,Characteristic,waveInjector,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,waveInjector,,,,,,,
CHAR_765948744ee85ab2,Characteristic,tagPlate,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,tagPlate,,,,,,,
CHAR_1beded9c4b2bca21,Characteristic,inclusiveManual,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,inclusiveManual,,,,,,,
CHAR_ead020de570cb29d,Characteristic,powerCable,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,powerCable,,,,,,,
CHAR_d043830d01d04691,Characteristic,carryingCase,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,carryingCase,,,,,,,
CHAR_26cb247bb6ef82ba,Characteristic,measuringTape,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,measuringTape,,,,,,,
CHAR_1c3d2204797e2794,Characteristic,dev_advMeterVerification,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,dev_advMeterVerification,,,,,,,
CHAR_caf36d64dfa3538d,Characteristic,dynamicGasMaster,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,dynamicGasMaster,,,,,,,
CHAR_707b2674c83fa741,Characteristic,customUserFluid,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,customUserFluid,,,,,,,
VALUE_bb8276b6e416d4ef,CharacteristicValue,"in {0, 1, 2, 3}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,OrgUnitAreaOfDocument,,OrgUnitAreaOfDocument,"in {0, 1, 2, 3}",,,,
VALUE_b5179fc8aa7d688e,CharacteristicValue,3,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,OrgUnitAreaOfDocument,,OrgUnitAreaOfDocument,3,,,,
VALUE_057ab2717efce66b,CharacteristicValue,'flexim',OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,marke,,marke,'flexim',,,,
VALUE_572b1b7167e46372,CharacteristicValue,"in {NOVALUE, 'x731'}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,packageFixed_dev,,packageFixed_dev,"in {NOVALUE, 'x731'}",,,,
VALUE_e334f3fcb5b918fa,CharacteristicValue,"in {NOVALUE, 'F731WD_SingleChannel'}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,packageFixed_dev,,packageFixed_dev,"in {NOVALUE, 'F731WD_SingleChannel'}",,,,
VALUE_93821fa640f71503,CharacteristicValue,"in {NOVALUE, 'F731WD_DualChannel'}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,packageFixed_dev,,packageFixed_dev,"in {NOVALUE, 'F731WD_DualChannel'}",,,,
VALUE_17e15f27db147b61,CharacteristicValue,"in {NOVALUE, 'F731TE'}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,packageFixed_dev,,packageFixed_dev,"in {NOVALUE, 'F731TE'}",,,,
VALUE_b0d5e345f6b0812f,CharacteristicValue,"in {NOVALUE, 'G731CA'}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,packageFixed_dev,,packageFixed_dev,"in {NOVALUE, 'G731CA'}",,,,
VALUE_826af061cee328d0,CharacteristicValue,"in {NOVALUE, 'G731ST-LT'}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,packageFixed_dev,,packageFixed_dev,"in {NOVALUE, 'G731ST-LT'}",,,,
VALUE_3fc5156fe4000418,CharacteristicValue,"in {NOVALUE, 'G731ST-HT'}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,packageFixed_dev,,packageFixed_dev,"in {NOVALUE, 'G731ST-HT'}",,,,
VALUE_4ce3510f7067a3f4,CharacteristicValue,"in {NOVALUE, 'G731VG'}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,packageFixed_dev,,packageFixed_dev,"in {NOVALUE, 'G731VG'}",,,,
VALUE_39e0ac504ea0701f,CharacteristicValue,"in {NOVALUE, 'F731PW'}",OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,packageFixed_dev,,packageFixed_dev,"in {NOVALUE, 'F731PW'}",,,,
VALUE_a14c75816cba0878,CharacteristicValue,'stationaer',OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,installationsart,,installationsart,'stationaer',,,,
VALUE_39805cb8f01ddbf0,CharacteristicValue,'F',OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,devCategory,,devCategory,'F',,,,
VALUE_6064166ee6c8094a,CharacteristicValue,'G',OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,devCategory,,devCategory,'G',,,,
VALUE_63df4ddb3439ecbd,CharacteristicValue,'H',OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,real_configurator_workbook,devCategory,,devCategory,'H',,,,
